
!	.
"	"
fisk	N-A
fisk$	N-A
fisk$	N-D
fiska	VB
fiskar	NS-A
fiski	N-D
fisku$	NS-D
fiskum	NS-D
fjalast	VB
fjaldi	VBDI
fjaldist	VBDI
fjall$	N-A
fjall$	N-D
fjalt	VAN
fjalt	VBN
fjórðingshövdinga	N-G
fjöld	N-N
fjöld$	N-N
fjör$	N-D
fjöruti	NUM-A
fjöruti	NUM-G
fjöruti	NUM-N
fjúrtan	NUM-N
fleiri	QR-A
fleiri	QR-N
flestu	QS-N
flittuliga	ADV
flogg	VBI
floggjast	VB
flokk	N-A
flokk$	N-D
flokkaðist	VBDI
flokki	N-D
flokkur	N-N
flokkur$	N-N
floytaðu	VBDI
flutti	VBDI
fluttir	VAN
fluttu	VBDI
flyta	VB
flytið	VBI
flytja	VBI
flættaðu	VBDI
flökkja	VBPI
flýddi	VBDI
flýddir	VAN
flýddu	VBDI
flýggja	VB
fongsil	N-A
fongsl$	N-D
forargast	VBPI
forargaðust	VBDI
forbanna	VBPI
forbarma	VBI
forbeyð	VBDI
fordi	P
fordærva	VB
fordærvar	VBPI
fordöma	VB
fordömast	VB
fordömt	VBN
foreldur	N-A
foreldur	NS-A
foreldur	NS-N
forfardaðist	VBDI
forferst	VBPI
forfjónast	VB
forfylgja	VB
forfylgja	VBPI
forfylgt	VBN
forganga	VB
forganga	VBPI
forherðað	VAN
forhoyrdur	VAN
forkemst	VBPI
forkoma	VB
forkomast	VBPI
forkomin	VAN
forkomið	VBN
forkomnu	VAN-D
forkynna	VB
forlaja	ADJ-A
forlát	VBI
forláta	VB
forláta	VBPI
forlátast	VB
forlátnar	VAN
forlátnar	VBN
formeinti	VBDI
fornum	ADJ-D
forráddi	VBDI
forráða	VB
forstanda	VB
forstanda	VBPI
forstaðið	VBN
forstendur	VBPI
forstóðu	VBDI
forða	VB
forðar	VBPI
fostraði	VBDI
fostraður	VAN
fosturbróðir	N-N
fosturlandi	N-D
fra	P
fram	RP
fram$	ADV
fram$	RP
framdeilis	ADV
framman	ADV
framman$	ADV
frammi	ADV
fregnaðist	VBDI
fregnist	VBI
freista	VB
freista	VBPI
frelsa	N-N
frelsa	VB
frelsan	N-N
frelsara	N-A
frelsara	N-G
frelsari	N-N
frelsast	VB
frelst	VAN
frelst	VBN
frelstir	VAN
frelstur	ADJS-N
frelstur	VAN
frelsu	N-A
frelsu	N-G
frelsuveg$	N-A
fremmandir	ADJ-N
fremmandum	ADJ-D
frið	N-A
friði	N-D
froysti	VBDI
frukt$	N-D
frá	P
frá	RP
frá	RPX
frá$	P
frásögn$	N-A
frægari	ADJR-A
frægari	ADJR-N
frælsir	ADJ-N
frændum	NS-D
frætta	VB
frætti	VBDI
frættist	VBDI
frættu	VBDI
fría	VB
fría	VBI
fríar	VBPI
fríhalgaður	VAN
fríið	VBI
frímóðig	ADJ-N
frímóðiga	ADV
frímóðiga	NS-G
frímóðigur	ADJ-N
frísk	ADJ-N
frískan	ADJ-A
frískur	ADJ-N
frísta	VB
frístast	VB
fuglar	NS-A
fuglar	NS-N
fuldbirdast	VB
full	ADJ-N
fulla	ADJ-A
fullan	ADJ-A
fullbyrda	VB
fulldygtigir	ADJ-N
fulldygtigur	ADJ-N
fullföra	VB
fullfört	VB
fullfört	VBN
fullgilda	VB
fullgjört	VAN
fullir	ADJ-N
fullkomiliga	ADV
fullkomin	ADJ-N
fullkomna	ADJ-A
fullu	VBDI
fullur	ADJ-N
fullvæl	ADV
fullvíst	ADJ-A
fulnar	N-G
fult	ADJ-N
fund	N-A
funnin	VAN
funnið	VBN
funnu	VBDI
fylg	VBI
fylg$	N-A
fylgdi	VBDI
fylgdist	VBDI
fylgdu	VBDI
fylgi	N-A
fylgi	VBPS
fylgir	VBPI
fylgið	VBI
fylgja	VB
fylgja	VBPI
fylgt	VBN
fylla	VB
fylling	N-D
fylt	VBN
fylti	VBDI
fyltir	VAN
fyltu	VBDI
fyltur	VAN
fyltust	VBDI
fyri	FOR
fyri	P
fyri	RP
fyridömi	N-A
fyrigeva	VBPI
fyrigeving	N-A
fyrigevingar	N-G
fyrigivin	VAN
fyrigivnar	VAN
fyrijáttan	N-A
fyrijáttan	N-D
fyrijáttan$	N-D
fyrijáttan$	N-N
fyrijáttanir	NS-A
fyrimynd	N-D
fyrir	P
fyrisettar	ADJ-A
fyriskipan	N-N
fyriskipað	VBN
fyriskipaða	VAN-D
fyristöðumenn$	NS-N
fyrivitan	N-D
fyrndartíð	N-D
fyrndartíðum	NS-D
fyrr	ADVR
fyrr$	ADVR
fyrra	ADJR-D
fyrru	ADJR-A
fyrru	ADJR-D
fyrst	ADV
fyrst	ADVS
fyrst$	ADJ-D
fyrst$	N-D
fyrsta	ADJ-A
fyrsta	ADJ-D
fyrsta	ADJ-N
fyrsti	ADJS-N
fyrstir	ADJS-N
fyrstu	ADJ-D
fyrstu$	ADJ-D
fyrstur	ADJ-N
fyrstur	ADJS-N
fá	Q-N
fá	VBI
fáa	MD
fáa	MDPI
fáa	VB
fáa	VBPI
fáar	Q-N
fáast	VB
fáfongdu	ADJ-D
fáfongt	ADJ-A
fái	MDPI
fái	MDPS
fáið	VBI
fátt	Q-N
fátæk	ADJ-A
fátæku	ADJ-D
fátæku	ADJ-N
fátækum	ADJ-D
fæ	N-N
fær	VBPI
færast	VB
færast	VBPI
fært	VBPI
fíggindar	NS-A
fíggindi	N-N
fírast	VBI
fólk	N-A
fólk	N-N
fólk	NS-A
fólk	NS-N
fólk$	N-A
fólk$	N-D
fólk$	N-N
fólk$	NS-A
fólk$	NS-N
fólki	N-D
fólki	NS-D
fólks$	N-G
fólkum	NS-D
fór	VBDI
fóru	VBDI
fóta	NS-G
fótalag$	N-A
fótmál	N-A
fótskör	N-A
fótu$	NS-D
fótum	NS-D
född	VAN
födda	VAN-A
föddi	VBDI
föddir	VAN
föddist	VBDI
föddur	VAN
fölnar	VBPI
fölnaði	VBDI
fölskum	ADJ-D
föra	VB
föra	VBPI
förast	VB
fördi	VBDI
fördu	VBDI
fördur	VAN
föri	N-D
föri	VBPS
förimuni	N-D
förir	VBPI
förleika	NS-A
fört	VBN
föstu	N-D
fött	VAN
fött	VBN
fötur	NS-A
fötur	NS-N
fötur$	NS-A
föða	VB
föðast	VB
föði	N-A
föði	N-D
föðing$	N-D
föðir	VBPI
föðslu	N-A
fýra	NUM-A
fýra	NUM-D
fýra	NUM-N
gagnar	VBPI
gagni	N-D
gagnligari	ADJR-N
gagnligt	ADJ-N
gakk	VBI
gala	VB
gamal	ADJ-N
gamalmenni	NS-N
gamlan	ADJ-A
gamlar	ADJ-A
gand	N-A
gandakall	N-A
gandakallur$	N-N
gandakunstum	NS-D
ganga	VB
ganga	VBPI
gangandi	VAG
gangast	VB
gangið	VBI
gangligt	ADJ-N
gangur	N-N
garvara	N-D
garð$	N-A
gat	MDDI
gat	VBDI
gav	VBDI
gavst	VBDI
geipar$	N-N
gekk	VBDI
gekst	VBDI
gengur	VBPI
genta	N-N
ger	DOI
ger	DOPI
ger	VBPI
gera	DO
gera	DOPI
gerast	DO
geri	DOPI
geri	DOPS
gerið	DOI
gerning	N-A
gerninga$	NS-G
gerningar	N-A
gerningar	NS-A
gerningar	NS-N
gerningar$	NS-N
gerningu$	NS-D
gerningum	NS-D
gerningur	N-N
gert	DOPI
gerð	N-A
gerð	N-D
gerðum	NS-D
gev	VBI
geva	VB
geva	VBPI
gevast	VB
gevi	VBPI
gevið	VBI
gevur	VBPI
gingin	VBN
gingið	VBN
gingnir	VBN
gingu	VBDI
gitnir	VAN
givin	VAN
givið	VAN
givið	VBN
gjalda	VB
gjár	N-A
gjögnum	P
gjörd	DAN
gjördar	DAN
gjördari	DAN-D
gjördi	DODI
gjördi	VBDI
gjördir	DAN
gjördist	DODI
gjördu	DODI
gjördum	DAN-D
gjördur	DAN
gjördur	VAN
gjördust	DODI
gjört	DAN
gjört	DON
glatanarsonur$	N-N
glatast	VB
glataðist	VBDI
glað	ADJ-N
glaðir	ADJ-N
glaður	ADJ-N
gleddist	VBDI
gleddust	VBDI
glett	VBN
gleð$	N-A
gleð$	N-N
gleðast	VB
gleði	N-A
gleði	N-D
gleði	N-G
gleði	N-N
gleðiboðskap$	N-A
gleðiboðskap$	NS-A
gleðiboðskapar$	N-G
gleðist	VBPI
gongd	N-A
gongur	VBPI
gott	ADJ-A
gott	ADJ-N
goymdur	VAN
goymt	VBN
gramdist	VBDI
grammur	ADJ-N
grannar$	NS-N
gras	N-N
greiddi	VBDI
grein	N-A
grein	N-N
grein$	N-N
greina	VB
greinar$	NS-N
greindu	VBDI
greinið	VBI
greitt	VBN
gremja	VB
gremja	VBPI
gremur	VBPI
grikskum	ADJ-D
grikskur	ADJ-N
grinu	VBDI
grivin	VAN
grundar	N-G
grundað	VAN
grundaði	VBDI
grundaður	VAN
grundvöllur$	N-N
gráta	VB
grátandi	VAG
græt	VBDI
græt	VBPI
grætur	VBPI
gróvu	VBDI
gróðurríkar	ADJ-A
gröddi	VBDI
gröv	N-A
gröv	N-N
gröv$	N-A
gröv$	N-D
gröv$	N-N
grövu$	NS-D
gröða	VB
gudar	NS-A
gudar	NS-N
guddómur$	N-N
gudi	N-D
guds	N-G
gudsdýrkan	N-A
gudsspottan	N-A
gudstænastu	N-A
gudsótta	N-D
gull	N-A
gulli	N-D
guvurok	N-A
gyrdi	VBDI
gyrða	VB
gáva	N-N
gávu	N-A
gætur	NS-A
gól	VBDI
góvu	VBDI
góða	ADJ-A
góða	ADJ-N
góðan	ADJ-A
góðar	ADJ-A
góðgerð	N-A
góði	ADJ-N
góðs	N-A
góðsligur	ADJ-N
góðu	ADJ-A
góðu	ADJ-N
góðum	ADJ-D
góður	ADJ-N
góðviljaðir	ADJ-N
göt$	N-A
götu	N-A
götur$	NS-A
hagar	ADV
halda	VB
halda	VBPI
haldi	VBPI
haldið	VBN
halgaði	VBDI
halgaðir	VAN
halgi	VBPI
halgidóm$	N-A
halgidóm$	N-D
halgidóm$	NS-A
halgidómum	NS-D
halla	VB
halt	VBDI
halt	VBI
haltur	ADJ-N
han$	N-N
hana	PRO-A
handa	D-A
handaverkum	NS-D
handlaði	VBDI
hangandi	VAG
hann	N-A
hann	PRO-A
hann	PRO-N
hans	PRO-G
hansara	PRO-G
har	ADV
har	WADV
har$	ADV
har$	WADV
harmaklagu	N-A
harmur	ADJ-N
harr$	N-N
harra	N-A
harri	N-N
harri	NPR-N
hart	ADJ-A
harðari	ADJ-D
harðliga	ADV
harðu	ADJ-N
harðveður	N-N
hasin	D-N
hasum	D-D
hata	VB
hata	VBPI
hatar	VBPI
hatað	VBN
hataðu	VBI
hav	HVI
hav$	N-A
hav$	N-D
hava	HV
hava	HVPI
havi	HVPI
havið	HVI
havt	HVN
haðan	ADV
haðan	WADV
haðani	ADV
hebráiskum	ADJ-D
hegni	N-D
heidning$	NS-D
heidning$	NS-G
heidninga$	NS-G
heidningar	NS-A
heidningar	NS-N
heidningar$	NS-A
heidningar$	NS-N
heidningu$	NS-D
heidningum	NS-D
heidnir	ADJ-N
heila	ADJ-A
heila	ADJ-N
heilag	ADJ-N
heilaga	ADJ-A
heilaga	ADJ-D
heilaga	ADJ-G
heilagan	ADJ-A
heilagi	ADJ-N
heilagu	ADJ-A
heilagu	ADJ-D
heilagum	ADJ-D
heilagur	ADJ-N
heilbrigð	ADJ-A
heilbrigð	ADJ-N
heilbrigða	VB
heilbrigðan	ADJ-A
heilbrigður	ADJ-N
heili	ADJ-N
heiligt	ADJ-N
heiligu	ADJ-D
heils$	N-A
heilsa	VBPI
heilsan	N-A
heilsið	VBI
heilskapað	ADJ-A
heilskapaður	ADJ-N
heilsu$	N-A
heilsubót$	N-A
heilsubótar	N-G
heilsubótartekin$	N-N
heilt	ADJ-A
heilt	ADV
heim	ADV
heim$	N-A
heim$	N-D
heim$	NS-A
heima	ADV
heima	N-A
heimferð$	N-D
heimi	N-D
heimleið$	N-D
heims$	N-G
heimspekingu$	NS-D
heimta	VB
heimta	VBI
heimtaði	VBDI
heimur$	N-N
heiðin	ADJ-A
heiðin	ADJ-N
heiður	N-A
heiðuri	N-D
heldur	ADVR
heldur	VBPI
helheimi	N-D
hella	VB
helli	N-N
helliga	ADJ-A
helst	ADVS
helt	VBDI
henda	D-A
henda	D-N
henda	VB
henda	VBPI
hendast	VB
hendi	N-D
hendi	VBDI
hendi	VBPI
hendir	VBPI
hendu	VBDI
hendur	NS-A
hendur	NS-N
hendur$	NS-A
hennara	PRO-G
henni	PRO-D
hent	VAN
hent	VBN
henta	VB
henta	VBPI
henta	VP
hentað	VAN
hentaði	VBDI
hentaðu	VBDI
hentið	VBI
her	ADV
her$	ADV
herlið$	N-D
herliði	N-D
hermann	N-A
hermanni	N-D
hermenn	NS-A
hermenn	NS-N
hermenn$	NS-N
hermonn$	NS-D
hermonnu$	NS-D
hert	VBN
hesa	D-A
hesar	ADJ-A
hesar	D-A
hesar	N-A
hesari	D-D
hesi	D-A
hesi	D-D
hesi	D-N
hesin	D-N
hesir	D-N
hesta	VBPI
hesum	D-D
hetta	D-A
hetta	D-N
hevjað	VBN
hevjaði	VBDI
hevjaðu	VBDI
hevjaðu	VBPI
hevjaður	VAN
hevndi	VBDI
hevur	HVPI
hevði	HVDI
hevði	HVDS
heðani	ADV
higar	ADV
hildin	VAN
hildið	VAN
hildið	VBN
hildnir	VAN
hildu	VBDI
himins	NPR-G
himl$	N-D
himl$	NPR-D
himlar$	NS-A
himli	N-D
himmal$	N-A
himmal$	N-N
himmal$	NPR-A
himmals	N-G
himmals	NPR-G
himmals$	N-G
himmalski	ADJ-N
himmalsku	ADJ-A
himna	NS-G
himni	N-D
hin	D-A
hin	D-N
hina	D-A
hinar	D-A
hind	N-N
hini	D-A
hini	D-D
hini	D-N
hinir	D-N
hinna	D-G
hins	D-G
hinum	D-D
hinumegin	N-D
hirð$	N-N
hirði	N-N
hirðmaður	N-N
hirðmaður$	N-N
hitasótt$	N-N
hitt	D-A
hitt	D-N
hitt	VBN
hitta	VB
hitti	VBDI
hittir	VBPI
hittu	VBDI
hiðani	ADV
hjarta	N-A
hjarta	N-D
hjarta	N-N
hjarta$	N-A
hjarta$	N-G
hjarta$	NS-D
hjá	ADV
hjá	P
hjálp	VBI
hjálpar	N-G
hjálptur	VAN
hjört$	N-A
hjört$	NS-A
hjörtu	NS-A
hjörtum	NS-D
hold	N-A
hold	N-N
hold$	N-D
hold$	N-N
holdi	N-D
holds	N-G
hon	PRO-N
hond	N-A
hond	N-D
hond	N-N
hond	NS-N
hond$	N-D
hond$	NS-D
hondu$	NS-D
hondum	N-D
hondum	NS-D
hongdu	VBDI
honum	PRO-D
hopa	VB
hopaðu	VBDI
hor	N-A
hordómi	N-D
hori	N-D
hornasteinur	N-N
hornu$	NS-D
hoyra	VB
hoyra	VBPI
hoyrandi	VAG
hoyrd	VAN
hoyrdi	VBDI
hoyrdist	VBDI
hoyrdu	VBDI
hoyri	VBPI
hoyri	VBPS
hoyrir	VBPI
hoyrið	VBI
hoyrst	VBN
hoyrt	VBN
hug	N-A
hug$	N-A
huga	N-A
huga	N-D
hugaðar	VAN
hugaðir	ADJ-N
hugdi	VBDI
hugdu	VBDI
huglar	VBPI
hugnað	N-A
hugsa	VBPI
hugsan	N-D
hugsaði	VBDI
hugsaðu	VBDI
hugsi	VBPI
hugsvala	VB
hugsvalast	VB
hugt	VBN
hundrað	N-N
hundrað	NUM-A
hundrað	NUM-D
hundrað	NUM-N
hungra	VB
hungra	VBPI
hungraði	VBDI
hungur	N-N
hungursneyð	N-N
hurð$	N-A
hvar	WADV
hvar$	WADV
hvassliga	ADV
hvat	WD-A
hvat	WPRO-A
hvat	WPRO-N
hvat$	WPRO-A
hvat$	WPRO-N
hvaðan	WADV
hvaðani	WADV
hveitikorn$	N-N
hvis$	WQ
hvussu	WADV
hví	WADV
hvíla	VB
hvíldarstaður	N-N
hvíludag	N-A
hvíludag	NPR-A
hvíludag$	NPR-A
hvíludagar	NPRS-A
hvíludagin	NPR-A
hvíludags	NPR-G
hvíludagshalg$	N-A
hvíludagur	NPR-N
hvíludagur$	NPR-N
hvítir	ADJ-N
hvítt	ADJ-A
hvítum	ADJ-D
hvítusunnudagur$	NPR-N
hvönn	Q-A
hvönn	WD-A
hvönn	WPRO-A
hvör	Q-N
hvör	WADV
hvör	WPRO-N
hvör	WQ-N
hvör$	WPRO-N
hvörja	Q-A
hvörjar	WPRO-A
hvörji	Q-D
hvörji	WD-A
hvörji	WD-D
hvörji	WPRO-N
hvörjir	WPRO-N
hvörjum	Q-D
hvörjum	WD-D
hvörjum	WPRO-D
hvörjumegin	Q+N-D
hvörki	CONJ
hvörki	CONJ-1
hvörkin	CONJ
hvört	Q-A
hvört	Q-N
hvört	WADV
hyggið	VBI
hyggja	VB
hyggja	VBPI
hyggur	VBPI
hygnir	ADJ-N
hyl$	N-A
hyl$	N-D
hylur	N-N
hábornastu	ADJS-D
hábornum	ADJ-D
hálova	VB
hálovaðu	VBDI
hálvliðin	VBN
hári	N-D
hásæt$	N-A
hásæti	N-D
hásæti	N-N
hátt	ADV
hátt	N-A
hátt	N-D
hátíð	N-N
hátíð$	N-A
hátíð$	N-D
hátíð$	N-N
háðarar	NS-N
hægsta	ADJS-G
hægsti	ADJS-N
hæli	N-D
hóast	P
hópur	N-N
hóslag	N-A
hótta	VB
hóttir	NS-A
hóttu	VBDI
hóttum	NS-D
högdi	VBDI
högg	N-A
högg	VBI
högga	VB
höggast	VB
högra	ADJ-A
högra	ADJ-N
högru	ADJ-A
högru	ADJ-D
högrumegin	N-D
högt	ADJ-A
högt	VBN
hölt	ADJ-N
höltum	ADJ-D
hört	VBN
hörð	ADJ-N
hövd$	N-A
hövd$	N-D
hövdalag$	N-A
hövdi	N-D
hövding$	N-N
hövdinga	N-A
hövdinga	N-G
hövdingar$	NS-N
hövdingi	N-N
hövdu	HVDI
hövuðskokk$	N-D
hövuðskokkur$	N-N
hövuðsmaður	N-N
hövuðsmaður$	N-N
hövuðsmenn$	NS-N
hövuðsprest$	N-A
hövuðsprest$	N-D
hövuðspresta	NS-G
hövuðsprestar	NS-N
hövuðsprestar$	NS-A
hövuðsprestar$	NS-N
hövuðsprestu$	NS-D
hövuðsprestur	N-N
hövuðsprestur$	N-N
hús	N-A
hús	N-N
hús$	N-A
hús$	N-D
hús$	N-N
hús$	NS-A
húsasmiðu$	NS-D
húsbóndi	N-N
húsbóndum	NS-D
húsböndur	NS-N
húsi	N-D
húskallar	NS-N
húskallur	N-N
húsköllum	NS-D
húðfletta	VB
húðflettu	VBDI
húðflongdi	VBDI
i	P
ikki	NEG
illa	ADJ-D
illa	ADV
illan	ADJ-A
illgerðarmaður	N-N
illir	ADJ-N
illmæli	N-N
illskapi	N-D
illur	ADJ-N
ilskaðust	VBDI
ilskur	ADJ-N
ilt	ADJ-A
ilt	ADJ-N
inkaðist	VBDI
inn	RP
inn$	RP
inna	VB
innan$	ADV
innar	ADVR
innara	ADJR-A
innarliga	ADV
inni	ADV
inniliga	ADV
innir	VBPI
innivist	N-A
innlögur	NS-A
innsiglað	VBN
innvölir$	NS-N
ipparsta	ADJS-A
itáliska	ADJ-N
iva	N-D
ivast	VB
ið	C
ja	INTJ
jarnportr$	N-A
jarðar	N-G
jarðar$	N-G
jarðarferðardag	N-A
jarðarkring$	NS-A
jarðarstykk$	N-N
jarðarstykki	N-A
jarðaðu	VBDI
jarðisku	ADJ-A
javnið	VBI
jörð	N-A
jörð	N-N
jörð$	N-A
jörð$	N-D
jörð$	N-N
jú	INTJ
kagaði	VBDI
kalla	VB
kalla	VBPI
kallar	VBPI
kallast	VB
kallast	VBPI
kallað	VAN
kallað	VBN
kallaði	VBDI
kallaðir	VAN
kallaðist	VBDI
kallaðu	VBDI
kallaður	VAN
kalli	VBPI
kallmenn$	NS-N
kallmonnum	NS-D
kalt	ADJ-N
kampi	N-D
kann	MDPI
kannur	NS-A
kanst	MDPI
kapp$	N-A
kasta	VB
kasta	VBPI
kastast	VB
kastast	VBPI
kastað	VAN
kastaði	VBDI
kastaðu	VBDI
kastaður	VAN
kasti	VBPS
kastið	VBI
keisar$	N-A
keisara$	N-D
keisara$	N-G
keisari	N-N
kelda	N-N
kemur	VBPI
kendi	VBDI
kendi	VBPI
kendu	VBDI
kendur	VAN
kenna	VB
kenna	VBPI
kennast	VB
kenni	VBPI
kenni	VBPS
kennir	VBPI
kennist	VBPI
kent	VBN
ker	N-N
kerald	N-A
keypa	VB
keypt	VBN
keypti	VBDI
kinn	N-A
kirkjulið	N-A
kirkjulið$	N-A
kirkjulið$	N-D
kirkjulið$	N-N
kirkjulið$	NS-A
kirkjulið$	NS-N
kjólar	NS-A
kjósaði	VBDI
klaga	VB
klagar	VBPI
klagu	N-A
klandraðust	VBDI
klettur	N-N
klint$	N-A
klippir	VBPI
klæddist	VBDI
klæddur	VAN
klædning	N-A
klæð$	NS-A
klæð$	NS-D
klæða	VB
klæði	NS-A
klæðir	NS-A
klæðum	NS-D
knappliga	ADV
knæ	N-A
knæ	NS-A
kolaeld	N-A
koll	N-A
kom	VBDI
kom	VBI
koma	VB
koma	VBPI
komi	VBPI
komi	VBPS
komin	VBN
koming	N-D
komið	VAN
komið	VBI
komið	VBN
komnar	VBN-A
komnir	VBN
komst	VBDI
komu	N-A
komu	N-D
komu	VBDI
komust	VBDI
kon$	N-N
kona	N-N
kong	N-A
kongar	NS-A
kongar	NS-N
kongaskrúð	N-A
kongi	N-D
kongs	N-G
kongs$	N-G
kongsmaður	N-N
kongur	N-N
konu	N-A
konu	N-D
konu	N-G
konu$	N-A
konun$	N-G
konur	NS-A
konur	NS-N
korn	N-N
kortini	ADV
korum	NS-D
koyra	VB
koyra	VBPI
koyrast	VB
koyrdi	VBDI
koyrdu	VBDI
koyrdur	VAN
koyril	N-A
koyrt	VBN
kraft	N-A
kraft	N-D
kraft	N-N
kraftargerningum	NS-D
kraftargerðir	NS-A
kraftigu	ADJ-N
kraftigu	N-N
krambúð	N-A
kransum	NS-D
krevur	VBPI
kristnir	ADJ-N
kross	N-A
kross$	N-A
kross$	N-D
krossfest	VBI
krossfest	VBN
krossfesta	VB
krossfestið	VBI
krossfestu	VBDI
krossfestur	VAN
krógvaðan	VAN-A
krúnu	N-A
kundi	MDDI
kundu	MDDI
kunna	MD
kunna	MDPI
kunna	VB
kunnar	ADJ-A
kunnaðist	VBDI
kunnger	VBPI
kunngera	VB
kunngjördi	VBDI
kunngjört	VBN
kunnigt	ADJ-N
kunnigur	ADJ-N
kunnu	MDPI
kurv	N-D
kvaldu	VBDI
kvaldum	VAN-D
kvalt	VAN
kvelur	VBPI
kvinna	N-N
kvinnu	N-D
kvinnu$	NS-D
kvinnum	NS-D
kvinnur$	NS-A
kvöld$	N-N
kvöldi	N-D
kvöldmáltíð	N-A
kvöldmáltíð	N-N
kvöldmáltíð$	N-A
kvöldmáltíð$	N-D
kyndlum	NS-D
kynt	VBN
kyrtil$	N-A
kyrtil$	N-N
kálv	N-A
kápur	NS-A
kærleik$	N-N
kærleika	N-A
kærleika	N-D
kómu	VBDI
köldum	ADJ-D
lagalig	ADJ-N
lagdir	VAN
lagdur	VAN
lagst	VBN
lagt	VAN
lagt	VBN
lamb	N-N
lamb$	N-A
lamin	ADJ-N
lamp$	N-N
land	N-A
land	N-N
land$	N-A
land$	N-D
landamark	NS-A
landi	N-D
landsbygd$	N-A
landsbygd$	N-D
landshövding$	N-D
landshövding$	N-N
landshövdingaborg$	N-A
landskjálvti	N-N
landsuðurstíð	N-N
langa	ADJ-A
langt	ADJ-A
langt	ADJ-N
langt	ADV
las	VBDI
lat	VBDI
lat	VBI
lata	VB
latar	VBPI
latast	VB
lati	VBPI
lati	VBPS
latin	VAN
latið	VAN
latið	VBI
latið	VBN
latnir	VAN
latum	VBI
legg	VBI
leggi	VBPI
leggja	VB
leggjast	VB
leggur	VBPI
legubeinkir	NS-A
legði	VBDI
legði	VBDS
leiddi	VBDI
leiddu	VBDI
leiddur	VAN
leigusveinur	N-N
leikaðu	VBDI
leikmenn	NS-N
leingi	ADJ-N
leinkjum	NS-D
leinkjur$	NS-N
leit	VBDI
leita	VB
leita	VBPI
leitar	VBPI
leitaði	VBDI
leitaðu	VBDI
leitið	VBI
leið	N-D
leið	VBDI
leið	VBI
leið$	N-A
leið$	N-D
leiða	VB
leiðbeinari	N-N
leiðbeinir	VBPI
leiði	N-N
lekt	VAN
lektur	VAN
lend$	N-A
lendum	NS-D
lesa	VB
lestan	VAN-N
lestu	VBDI
lesur	VBPI
letur	VBPI
leyp	VBDI
leypa	VBPI
leysir	ADJ-N
leysum	ADJ-D
leysur	ADJ-N
leyvsalahátíð$	NPR-N
lidnir	VBN
liggja	VB
liggja	VBPI
liggur	VBPI
ligið	VBN
likam	N-A
likam	N-N
likam$	NS-N
likams	N-G
lisin	VAN
lisið	VBN
liva	VB
liva	VBPI
livandi	VAG
livdi	VBDI
livi	VBPI
livir	VBPI
livur	VBPI
lið	N-A
ljómaði	VBDI
ljós	N-A
ljós	N-N
ljós$	N-A
ljós$	N-G
ljós$	N-N
ljósi	N-D
ljóst	ADJ-N
ljóð	N-A
ljóð$	N-N
ljóðaði	VBDI
ljóðliga	ADV
ljóðs	N-G
loftsstov$	N-A
loftstov$	N-A
logið	VBN
lomb	NS-A
lompum	NS-D
longraðu	VBDI
longu	ADJ-D
longur	ADVR
lova	VB
lova	VBI
lovað	VAN
lovað	VBN
lovaði	VBDI
lovaðu	VBDI
lovsangir	NS-A
loyndum	NS-D
loyniliga	ADV
loynligt	ADJ-N
loypa	VBPI
loypt	VBN
loyptu	VBDI
loysa	VB
loysir	VBPI
loysnara	N-G
loyvdi	VBDI
loyvi	N-A
loyvist	VBPI
loyvt	VAN
luja	VBPI
lupu	VBDI
lurta	VBPI
lurtaðu	VBDI
lut	N-A
lutir	N-N
lutir	NS-A
lutir$	NS-A
lutum	NS-D
lutur$	N-N
lyft	VBN
lyfti	VBDI
lyftið	VBI
lyftur	VAN
lygivitni	NS-A
lygn	N-A
lygn$	N-D
lygnari	N-N
lystir	VBPI
lyttað	VBN
lá	VBDI
lægt	VBN
lægti	VBDI
lækti	VBDI
læna	VB
lær$	N-A
læra	VB
læra	VBPI
lærarar	NS-N
lærari	N-N
lærdi	VBDI
lærdu	VBDI
lærdur	VAN
lærdóm	N-A
lærið	VBI
lært	VBN
læru	N-A
læru	N-D
lærur	VBPI
lærusvein$	N-A
lærusvein$	NS-A
lærusvein$	NS-D
lærusvein$	NS-G
lærusveina	NS-G
lærusveinaflokk$	N-A
lærusveinar	NS-A
lærusveinar	NS-N
lærusveinar$	NS-A
lærusveinar$	NS-N
lærusveinu$	NS-D
lærusveinum	NS-D
lærusveinur	N-N
lærusveinur$	N-N
læstar	VAN
læt	VBDI
lætst	VBDI
lætta	VB
lættari	ADJR-N
lætti	VBDI
lík	N-A
lík$	N-D
líka	ADV
líka	ALSO
líka$	ADVR
líkan	ADJ-A
líkar	VBPI
líkaso	ADVR+ADV
líkaði	VBDI
líki	N-D
líkir	ADJ-N
líkist	VBPI
líkna	VB
líknar	VBPI
líknast	VB
líknast	VBPI
líknað	VAN
líknilsi	N-A
líknilsum	NS-D
líkt	ADJ-N
líkur	ADJ-N
líkverju	N-D
líndúk	N-A
líndúk$	N-D
línklæð$	NS-A
línklæði	N-D
línklæðu$	NS-D
lít	VBI
líta	VB
lítil	ADJ-N
lítil	Q-N
lítilábin	ADJ-N
lítið	Q-A
lítið	Q-N
lítla	ADJ-A
lítla	Q-A
lív	N-A
lív	N-N
lív	NS-N
lív$	N-A
lív$	N-N
lívgar	VBPI
lívi	N-D
lívláti	N-D
lívs	N-G
lívs$	N-G
líða	VB
líða	VBPI
