Fossavatnsgangan	nvengs
í	af
Bolungarvík	nveþ-s
að	af
kvöldi	nheþ
afmælisdagsins	nkeeg
kl.	ks
--	pa
>	pa
70	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Miðvikudaginn	nkeog
9	ta
júlí	nkeo
er	sfg3en
sjötug	lvensf
Birna	nven-s
Hjaltalín	nven-s
Pálsdóttir	nven-s
,	pk
húsmóðir	nven
og	c
fyrrum	aa
kaupmaður	nken
í	af
Bolungarvík	nveþ-s
.	pl

Af	af
því	faheþ
tilefni	nheþ
ætla	sfg3fn
börnin	nhfng
hennar	fpvee
að	cn
halda	sng
henni	fpveþ
hátíðardagskrá	nveo
í	af
félagsheimlinu	x
Víkurbæ	nkeþ-s
í	af
Bolungarvík	nveþ-s
að	af
kvöldi	nheþ
afmælisdagsins	nkeeg
kl.	ks
20.30	ta
og	c
vonast	sfm3fn
þau	fphfn
eftir	af
stórfjölskyldunni	nveþg
,	pk
vinum	nkfþ
og	c
vandamönnum	nkfþ
.	pl

BRÚÐKAUP	nhen
.	pl

Gefin	sþghfn
voru	sfg3fþ
saman	aa
í	af
Garðakirkju	nveþ-s
14	ta
júní	nkeo
sl.	ks
þau	fphfn
Íris	nven-s
Ingþórsdóttir	nven-s
og	c
Ólafur	nken-s
Hallgrímsson	nken-s
.	pl

85	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
þriðjudaginn	nkeog
8	ta
júlí	nkeo
,	pk
er	sfg3en
85	ta
ára	nhfe
Jakobína	nven-s
Þorvaldsdóttir	nven-s
,	pk
Gullsmára	nkeþ-s
11	ta
,	pk
Kópavogi	nkeþ-s
.	pl

Í	af
tilefni	nheþ
afmælisins	nheeg
tekur	sfg3en
hún	fpven
á	aa
móti	af
gestum	nkfþ
á	af
heimili	nheþ
dóttur	nvee
sinnar	fevee
,	pk
Hlíðarhjalla	nkeþ-s
4	ta
,	pk
Kópavogi	nkeþ-s
,	pk
milli	af
kl.	ks
17	ta
og	c
19	ta
í	af
dag	nkeo
.	pl

80	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Á	af
morgun	nkeo
,	pk
fimmtudaginn	nkeog
10	ta
júlí	nkeo
,	pk
verður	sfg3en
áttræð	lvensf
María	nven-s
Þ	n----s
Ólafsdóttir	nven-s
frá	af
Reyðarfirði	nkeþ-s
,	pk
Hlíðarhúsum	nhfþ-s
3	ta
,	pk
Reykjavík	nveþ-s
.	pl

Hún	fpven
tekur	sfg3en
á	aa
móti	af
gestum	nkfþ
á	af
afmælisdaginn	nkeog
milli	af
kl.	ks
18	ta
og	c
20	ta
í	af
safnaðarheimili	nheþ
Fella-	kt
og	c
Hólakirkju	nvee-s
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Á	af
morgun	nkeo
,	pk
föstudaginn	nkeog
11	ta
júlí	nkeo
,	pk
verður	sfg3en
fimmtug	lvensf
Sóley	nven-s
Halla	nven-s
Þórhallsdóttir	nven-s
kennari	nken
,	pk
Kjarrmóum	nkfþ-s
3	ta
,	pk
Reykjanesbæ	nkeþ-s
.	pl

Af	af
því	faheþ
tilefni	nheþ
býður	sfg3en
hún	fpven
og	c
eiginmaður	nken
hennar	fpvee
,	pk
Kristján	nken-s
Pálsson	nken-s
,	pk
ættingjum	nkfþ
,	pk
vinum	nkfþ
og	c
velunnurum	nkfþ
öllum	fokfþ
að	cn
gleðjast	snm
með	af
sér	fpveþ
í	af
Selinu	nheþgs
,	pk
Vallarbraut	nveþ-s
4	ta
,	pk
Reykjanesbæ	nkeþ-s
,	pk
á	af
afmælisdaginn	nkeog
kl.	ks
19-22	ta
.	pl

60	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
föstudaginn	nkeog
11	ta
júlí	nkeo
,	pk
verður	sfg3en
sextugur	lkensf
Svanur	nken-s
Ingvason	nken-s
,	pk
húsgagnasmíðameistari	nken
,	pk
Skógargerði	nheþ-s
4	ta
,	pk
Reykjavík	nveþ-s
.	pl

Eiginkona	nven
hans	fpkee
er	sfg3en
Rán	nven-s
Einarsdóttir	nven-s
.	pl

Þau	fphfn
eru	sfg3fn
að	aa
heiman	aa
í	af
dag	nkeo
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Gunnar	nken-s
Snorri	nken-s
Gunnarsson	nken-s
,	pk
ráðuneytisstjóri	nken
í	af
utanríkisráðuneytinu	nheþg
,	pk
er	sfg3en
50	ta
ára	nhfe
í	af
dag	nkeo
.	pl

Hann	fpken
tekur	sfg3en
á	aa
móti	af
gestum	nkfþ
á	af
Kjarvalsstöðum	nkfþ-s
frá	af
kl.	ks
18	ta
í	af
dag	nkeo
og	c
fram	aa
eftir	af
kvöldi	nheþ
.	pl

GULLBRÚÐKAUP	nhen
.	pl

Í	af
dag	nkeo
,	pk
laugardaginn	nkeog
19	ta
júlí	nkeo
,	pk
eiga	sfg3fn
50	ta
ára	nhfe
hjúskaparafmæli	nheo
,	pk
hjónin	nhfng
Guðbjörg	nven-s
Guðmundsdóttir	nven-s
og	c
Sæmundur	nken-s
Helgason	nken-s
,	pk
bændur	nkfn
á	af
Galtarlæk	nkeþ-s
í	af
Skilmannahreppi	nkeþ-s
.	pl

60	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
laugardaginn	nkeog
19	ta
júlí	nkeo
,	pk
verður	sfg3en
sextugur	lkensf
Jóhann	nken-s
Ingi	nken-s
Jóhannsson	nken-s
,	pk
verkstjóri	nken
,	pk
Fífumýri	nveþ-s
2	ta
,	pk
Garðabæ	nkeþ-s
.	pl

Jóhann	nken-s
Ingi	nken-s
og	c
eiginkona	nven
hans	fpkee
,	pk
Ásthildur	nven-s
Einarsdóttir	nven-s
,	pk
taka	sfg3fn
á	aa
móti	af
gestum	nkfþ
í	af
Stjörnuheimilinu	nheþgs
Garðabæ	nkeþ-s
,	pk
í	af
dag	nkeo
,	pk
laugardag	nkeo
,	pk
kl.	ks
17-19	ta
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
sunnudaginn	nkeog
20	ta
júlí	nkeo
,	pk
er	sfg3en
fimmtug	lvensf
Rannveig	nven-s
Einarsdóttir	nven-s
,	pk
Hlíðarhjalla	nkeþ-s
74	ta
,	pk
Kópavogi	nkeþ-s
.	pl

Eiginmaður	nken
hennar	fpvee
er	sfg3en
Christopher	n----s
John	n----s
Taylor	n----s
.	pl

Þau	fphfn
taka	sfg3fn
á	aa
móti	af
gestum	nkfþ
í	af
sumarbústað	nkeþ
sínum	fekeþ
í	af
landi	nheþ
Nesja	nhfe-s
við	af
Þingvallavatn	nheo-s
í	af
dag	nkeo
milli	af
kl.	ks
14-18	ta
.	pl

30	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
mánudaginn	nkeog
21	ta
júlí	nkeo
,	pk
er	sfg3en
þrítugur	lkensf
Sigurður	nken-s
Jóhann	nken-s
Jónasson	nken-s
,	pk
Unufelli	nheþ-s
46	ta
,	pk
Reykjavík	nveþ-s
.	pl

Hann	fpken
verður	sfg3en
að	c
heiman	aa
á	af
afmælisdaginn	nkeog
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
,	pk
mánudaginn	nkeog
21	ta
júlí	nkeo
,	pk
er	sfg3en
fimmtugur	lkensf
Haraldur	nken-s
Magnús	nken-s
Magnússon	nken-s
,	pk
bóndi	nken
í	af
Belgsholti	nheþ-s
í	af
Melasveit	nveþ-s
.	pl

Haraldur	nken-s
og	c
kona	nven
hans	fpkee
,	pk
Sigrún	nven-s
Sólmundardóttir	nven-s
,	pk
ætla	sfg3fn
að	cn
taka	sng
á	aa
móti	af
gestum	nkfþ
laugardaginn	nkeog
26	ta
júlí	nkeo
,	pk
frá	af
kl	ks
20:00	ta
,	pk
með	af
hlöðuballsstemmningu	nveþ

(	pa
næg	lhfnsf
tjaldstæði	nhfn
í	af
túninu	nheþg
)	pa
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Fimmtug	lvensf
er	sfg3en
er	sfg3en
í	af
dag	nkeo
þriðjudaginn	nkeog
22	ta
júlí	nkeo
,	pk
Hólmfríður	nven-s
Haukdal	nven-s
,	pk
Vörðu	nveþ-s
14	ta
,	pk
Djúpavogi	nkeþ-s
.	pl

Í	af
tilefni	nheþ
dagsins	nkeeg
taka	sfg3fn
hún	fpven
,	pk
eiginmaður	nken
og	c
börn	nhfn
á	aa
móti	af
ættingjum	nkfþ
og	c
vinum	nkfþ
á	af
tjaldstæðinu	nheþg
á	af
Fossárdal	nkeþ-s
við	af
Berufjörð	nkeo-s
,	pk
laugardaginn	nkeog
26	ta
júlí	nkeo
frá	af
kl	ks
17:00	ta

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Kristín	nven-s
Magnea	nven-s
Eggertsdóttir	nven-s
,	pk
Jakaseli	nheþ-s
12	ta
,	pk
Reykjavík	nveþ-s
,	pk
verður	sfg3en
fimmtug	lvensf
föstudaginn	nkeog
25	ta
júlí	nkeo
.	pl

Af	af
því	faheþ
tilefni	nheþ
taka	sfg3fn
hún	fpven
og	c
hennar	fpvee
eiginmaður	nken
,	pk
Valur	nken-s
Leonhard	nken-s
Valdimarsson	nken-s
,	pk
á	aa
móti	af
gestum	nkfþ
í	af
sal	nkeþ
Tannlæknafélagsins	nheegs
,	pk
Síðumúla	nkeþ-s
35	ta
,	pk
á	af
afmælisdeginum	nkeþg
kl.	ks
20	ta
.	pl

Þau	fphfn
vonast	sfm3fn
til	af
að	cn
sjá	sng
sem	c
flesta	lkfose
ættingja	nkfe
,	pk
vini	nkfo
og	c
vinnufélaga	nkfo
.	pl

50	ta
ÁRA	nhfe
afmæli	nhen
.	pl

Bergur	nken-s
Pálsson	nken-s
,	pk
Hólmahjáleigu	nveþ-s
,	pk
Austur-Landeyjum	nvfþ-s
verður	sfg3en
fimmtugur	lkensf
27	ta
júlí	nkeo
nk.	ks

Eiginkona	nven
hans	fpkee
er	sfg3en
Agnes	nven-s
Antonsdóttir	nven-s
,	pk
þau	fphfn
verða	sfg3fn
með	af
opið	lheosf
hús	nheo
í	af
Gunnarshólma	nkeþ-s
,	pk
Austur-Landeyjum	nvfþ-s
,	pk
laugardaginn	nkeog
26	ta
júlí	nkeo
nk.	ks
frá	af
kl.	ks
20	ta
.	pl

70	ta
Ára	nhfe
afmæli	nhen
.	pl

Í	af
dag	nkeo
laugardaginn	nkeog
26	ta
júlí	nkeo
er	sfg3en
sjötugur	lkensf
Hörður	nken-s
Arnórsson	nken-s
,	pk
Uppsalavegi	nkeþ-s
18	ta
,	pk
Húsavík	nveþ-s
.	pl

Hann	fpken
og	c
eiginkona	nven
hans	fpkee
Ina	nven-s
Pétursdóttir	nven-s
eru	sfg3fn
að	aa
heiman	aa
í	af
dag	nkeo
.	pl

BRÚÐKAUP	nhen
.	pl

Gefin	sþghfn
voru	sfg3fþ
saman	aa
í	af
Hafnarfjarðarkirkju	nveþ-s
5	ta
október	nkeo
2002	ta
af	af
sr.	ks
Vigfúsi	nkeþ-s
Þór	nkeþ-s
Árnasyni	nkeþ-s
þau	fphfn
Ragna	nven-s
Pétursdóttir	nven-s
og	c
Magnús	nken-s
Erlingsson	nken-s
.	pl

Heimili	nhen
þeirra	fphfe
er	sfg3en
í	af
Hafnarfirði	nkeþ-s
.	pl

ÞRÁINN	nken-s
GUÐMUNDSSON	nken-s
:	pa
Einn	foken
af	af
öflugustu	lkfþve
félagsmálamönnum	nkfþ
sem	ct
íslenska	lvenvf
skákhreyfingin	nveng
hefur	sfg3en
átt	sþghen
,	pk
Þráinn	nken-s
Guðmundsson	nken-s
,	pk
fyrrverandi	lkenof
skólastjóri	nken
,	pk
varð	sfg3eþ
sjötugur	lkensf
24	ta
apríl	nkeo
sl.	ks
--	pa
>	pa
Einn	foken
af	af
öflugustu	lkfþve
félagsmálamönnum	nkfþ
sem	ct
íslenska	lvenvf
skákhreyfingin	nveng
hefur	sfg3en
átt	sþghen
,	pk
Þráinn	nken-s
Guðmundsson	nken-s
,	pk
fyrrverandi	lkenof
skólastjóri	nken
,	pk
varð	sfg3eþ
sjötugur	lkensf
24	ta
apríl	nkeo
sl.	ks

Ólíklegt	lhensf
er	sfg3en
að	c
nokkur	foken
finnist	svm3en
sem	ct
tekið	sþghen
hefur	sfg3en
þátt	nkeo
í	af
skákmótum	nhfþ
eða	c
starfi	nheþ
skákhreyfingarinnar	nveeg
síðustu	lkfove
áratugi	nkfo
sem	ct
ekki	aa
þekkir	sfg3en
til	af
Þráins	nkee-s
Guðmundssonar	nkee-s
.	pl

Í	af
nær	aam
40	ta
ár	nhfo
hefur	sfg3en
hann	fpken
setið	sþghen
í	af
stjórn	nveþ
Skáksambands	nhee-s
Íslands	nhee-s
eða	c
á	af
annan	fokeo
hátt	nkeo
gegnt	sþghen
lykilhlutverki	nheþ
í	af
framvindu	nveþ
skákmála	nhfe
í	af
landinu	nheþg
.	pl

Nú	aa
um	af
stundir	nvfo
er	sfg3en
hann	fpken
ritstjóri	nken
tímaritsins	nheeg
SKÁK	nven-s
,	pk
sem	ct
SÍ	n----s
hefur	sfg3en
gefið	sþghen
út	aa
eftir	af
fráfall	nheo
Jóhanns	nkee-s
Þóris	nkee-s
Jónssonar	nkee-s
.	pl

Mér	fp1eþ
er	sfg3en
til	af
efs	nhee
að	c
aðrar	fovfn
áhugamannahreyfingar	nvfn
hafi	svg3fn
átt	sþghen
svo	aa
ötulan	lkeosf
og	c
traustan	lkeosf
fylgismann	nkeo
sem	ct
skákhreyfingin	nveng
hefur	sfg3en
átt	sþghen
í	af
Þráni	nkeþ-s
Guðmundssyni	nkeþ-s
.	pl

Þráinn	nken-s
fæddist	sfm3eþ
á	af
Siglufirði	nkeþ-s
24	ta
apríl	nkeo
1933	ta
.	pl

Faðir	nken
hans	fpkee
var	sfg3eþ
Guðmundur	nken-s
Þorleifsson	nken-s
,	pk
fyrrum	aa
bóndi	nken
á	af
Syðsthóli	nkeþ-s
í	af
Sléttuhlíð	nveþ-s
í	af
Skagafirði	nkeþ-s
en	c
fluttist	sfm3eþ
til	af
Siglufjarðar	nkee-s
á	af
síldarárunum	nhfþg
.	pl

Móðir	nven
Þráins	nkee-s
var	sfg3eþ
Ingibjörg	nven-s
Jónsdóttir	nven-s
frá	af
Sauðaneskoti	nheþ-s
á	af
Upsaströnd	nkeþ-s
við	af
Dalvík	nveo-s
.	pl

Þráinn	nken-s
kynntist	sfm3eþ
ungur	lkensf
síldarævintýrinu	nheþg
á	af
Siglufirði	nkeþ-s
og	c
stúdentspróf	nheo
tók	sfg3eþ
hann	fpken
frá	af
MA	n----s
1953	ta
.	pl

Hann	fpken
tók	sfg3eþ
kennarapróf	nheo
frá	af
Kennaraskólanum	nkeþgs
og	c
nam	sfg3eþ
síðan	aa
íslensk	lhfosf
fræði	nhfo
við	af
Háskóla	nkeo-s
Íslands	nhee-s
.	pl

Hann	fpken
var	sfg3eþ
kennari	nken
við	af
Miðbæjarskólann	nkeogs
en	c
varð	sfg3eþ
síðar	aam
yfirkennari	nken
og	c
svo	aa
skólastjóri	nken
við	af
Laugalækjarskóla	nkeo-s
um	af
30	ta
ára	nhfe
skeið	nheo
eða	c
1963	ta
til	af
1993	ta
.	pl

Þráinn	nken-s
hefur	sfg3en
verið	sþghen
gæfumaður	nken
í	af
einkalífi	nheþ
sínu	feheþ
.	pl

Kona	nven
Þráins	nkee-s
er	sfg3en
Margrét	nven-s
Guðmundsdóttir	nven-s
en	c
foreldrar	nkfn
hennar	fpvee
voru	sfg3fþ
Guðmundur	nken-s
Helgason	nken-s
,	pk
bakari	nken
í	af
Reykjavík	nveþ-s
,	pk
og	c
kona	nven
hans	fpkee
,	pk
Þuríður	nven-s
Þorsteinsdóttir	nven-s
.	pl

Hafa	sfg3fn
þau	fahfn
hjón	nhfn
verið	sþghen
samhent	lhfnsf
og	c
er	sfg3en
ánægjulegt	lhensf
að	cn
koma	sng
á	af
heimili	nheo
þeirra	fphfe
.	pl

Þau	fphfn
Þráinn	nken-s
og	c
Margrét	nven-s
eiga	sfg3fn
fimm	tfhfo
börn	nhfo
,	pk
Ingibjörgu	nveo-s
sem	ct
búsett	lvensf
er	sfg3en
í	af
Bretlandi	nheþ-s
,	pk
Guðmund	nkeo-s
Ómar	nkeo-s
aðstoðaryfirlögregluþjón	nkeo
,	pk
Huldu	nveo-s
leikskólakennara	nkeo
,	pk
Margréti	nveo-s
sem	ct
er	sfg3en
kennari	nken
í	af
Árósum	nkfþ-s
og	c
Lúðvík	nkeo-s
sem	ct
er	sfg3en
viðskiptafræðingur	nken
.	pl

Þráinn	nken-s
var	sfg3eþ
skólastjóri	nken
Námsflokka	nkfe-s
Reykjavíkur	nvee-s
um	af
tíma	nkeo
og	c
tímabundið	aa
fræðslustjóri	nken
í	af
Reykjavík	nveþ-s
.	pl

Starf	nhen
Þráins	nkee-s
að	af
kennslu	nveþ
og	c
fræðslumálum	nhfþ
er	sfg3en
fjölbreytt	lhensf
og	c
margþætt	lhensf
og	c
hygg	sfg1en
ég	fp1en
að	c
hann	fpken
geti	svg3en
ánægður	lkensf
litið	sþghen
yfir	af
starfsferil	nkeo
sinn	fekeo
á	af
þessum	fahfþ
tímamótum	nhfþ
,	pk
yfir	af
farsælt	lheosf
starf	nheo
og	c
árangursríkt	lheosf
.	pl

Þó	aa
er	sfg3en
ótalið	lhensf
það	fahen
sem	ct
ég	fp1en
gæti	svg1eþ
trúað	sþghen
að	c
Þráni	nkeþ-s
þætti	svg3eþ
vænst	lhense
um	aa
á	af
löngum	lkeþsf
ferli	nkeþ
í	af
starfi	nheþ
.	pl

Hann	fpken
hafði	sfg3eþ
með	af
stofnun	nveþ
Kvöldskólans	nkeegs
í	af
Reykjavík	nveþ-s
forystu	nveo
um	af
að	c
komið	sþghen
var	sfg3eþ
á	af
fót	nkeo
hér	aa
á	af
landi	nheþ
fullorðinsfræðslu	nveþ
sem	ct
með	af
prófum	nhfþ
veitti	sfg3eþ
réttindi	nhfo
til	af
framhaldsskólanáms	nhee
.	pl

Þótt	c
við	af
Námsflokka	nkfo-s
Reykjavíkur	nvee-s
hafi	svg3en
áður	aa
verið	sþghen
komið	sþghen
á	af
fót	nkeo
fullorðinsfræðslu	nveþ
var	sfg3eþ
hér	aa
stigið	sþghen
nýtt	lhensf
skref	nhen
í	af
þróun	nveþ
fullorðinsfræðslu	nvee
á	af
okkar	fp1fe
landi	nheþ
.	pl

Síðustu	lhfove
ár	nhfo
hefur	sfg3en
Þráinn	nken-s
starfað	sþghen
í	af
hlutastarfi	nheþ
hjá	af
Fræðslumiðstöð	nveþ-s
Reykjavíkur	nvee-s
en	c
hefur	sfg3en
nýlega	aa
látið	sþghen
af	af
störfum	nhfþ
og	c
fæst	sfm3en
nú	aa
við	af
bókband	nheo
í	af
frístundum	nvfþ
ásamt	af
fjölmörgum	lhfþsf
áhugamálum	nhfþ
.	pl

Þau	fahfo
ár	nhfo
sem	ct
ég	fp1en
starfaði	sfg1eþ
að	af
málefnum	nhfþ
skákhreyfingarinnar	nveeg
vorum	sfg1fþ
við	fp1fn
Þráinn	nken-s
nánir	lkfnsf
samstarfsmenn	nkfn
.	pl

Þegar	c
ég	fp1en
horfi	sfg1en
aftur	aa
til	af
þeirra	fahfe
ára	nhfe
verður	sfg3en
mér	fp1eþ
starsýnast	lhense
á	aa
hversu	aa
traustur	lkensf
Þráinn	nken-s
er	sfg3en
.	pl

Það	fahen
sem	ct
hann	fpken
tók	sfg3eþ
að	af
sér	fpkeþ
var	sfg3eþ
í	af
lagi	nheþ
,	pk
af	af
því	fpheþ
þurfti	sfg3eþ
ekki	aa
að	cn
hafa	sng
áhyggjur	nvfo
.	pl

Þar	aa
fór	sfg3eþ
saman	aa
samviskusemi	nven
hans	fpkee
og	c
það	fphen
hversu	aa
úrræðagóður	lkensf
hann	fpken
var	sfg3eþ
og	c
fylginn	lkensf
sér	fpkeþ
að	cn
leiða	sng
mál	nhfo
til	af
lykta	nvfe
.	pl

Þráinn	nken-s
er	sfg3en
virtur	lkensf
innan	af
skákhreyfingarinnar	nveeg
vegna	af
mannkosta	nkfe
sinna	fekfe
og	c
á	af
löngum	lkeþsf
ferli	nkeþ
hans	fpkee
hafa	sfg3fn
hlaðist	sþmhen
á	af
hann	fpkeo
ýmis	fohfo
trúnaðarstörf	nhfo
.	pl

Hann	fpken
var	sfg3eþ
forseti	nken
Skáksambandsins	nheegs
1986	ta
til	af
1989	ta
.	pl

Mörg	lhfosf
ár	nhfo
var	sfg3eþ
hann	fpken
fulltrúi	nken
Íslands	nhee-s
á	af
þingum	nhfþ
Alþjóðaskáksambandsins	nheegs
FIDE	n----s
og	c
sat	sfg3eþ
fundi	nkfo
þess	fphee
en	c
var	sfg3eþ
þá	aa
oft	aa
einnig	aa
fararstjóri	nken
íslensku	lveevf
Ólympíuskáksveitarinnar	nveegs
.	pl

Þráinn	nken-s
var	sfg3eþ
útnefndur	sþgken
af	af
FIDE	n----s
alþjóðlegur	lkensf
skákdómari	nken
árið	nheog
1990	ta
en	c
þá	aa
höfðu	sfg3fþ
að	c
mig	fp1eo
minnir	sfg3en
aðeins	aa
þrír	tfkfn
Íslendingar	nkfn-s
náð	sþghen
því	faheþ
marki	nheþ
.	pl

Í	af
mörg	lhfosf
ár	nhfo
vann	sfg3eþ
Þráinn	nken-s
ásamt	af
þeim	fpkfþ
Ólafi	nkeþ-s
H	n----s
Ólafssyni	nkeþ-s
,	pk
Þorsteini	nkeþ-s
Þorsteinssyni	nkeþ-s
og	c
Kristni	nkeþ-s
Þorsteinssyni	nkeþ-s
að	af
þeim	fahfþ
kunnu	lhfþvf
unglingaskákmótum	nhfþ
sem	ct
bandaríski	lkenvf
skákáhugamaðurinn	nkeng
Collins	n----s
var	sfg3eþ
frumkvöðull	nken
að	aa
.	pl

Þá	aa
fór	sfg3eþ
fram	aa
keppni	nven
íslenskra	lkfesf
unglinga	nkfe
við	af
óopinbert	lheosf
unglingalandslið	nheo
Bandaríkjanna	nhfegs
og	c
var	sfg3eþ
mikill	lkensf
viðburður	nken
og	c
lyftistöng	nven
fyrir	af
marga	lkfosf
íslenska	lkfosf
unglinga	nkfo
á	af
fyrstu	lhfþve
árum	nhfþ
þeirra	fpkfe
við	af
skákborðið	nheog
.	pl

Teflt	sþghen
var	sfg3eþ
ýmist	c
hér	aa
á	af
landi	nheþ
eða	c
í	af
Bandaríkjunum	nhfþgs
.	pl

Þetta	fahen
unglingastarf	nhen
var	sfg3eþ
íslenskri	lveþsf
skákhreyfingu	nveþ
mikilvægt	lhensf
.	pl

Mest	aae
hefur	sfg3en
þó	aa
líklega	aa
reynt	sþghen
á	af
Þráin	nkeo-s
hjá	af
skákhreyfingunni	nveþg
þegar	c
hann	fpken
vann	sfg3eþ
að	af
heimsmeistaraeinvíginu	nheþg
í	af
skák	nveþ
sem	ct
hér	aa
fór	sfg3eþ
fram	aa
árið	nheog
1972	ta
.	pl

Þráinn	nken-s
var	sfg3eþ
þá	aa
einn	foken
þeirra	fakfe
manna	nkfe
sem	ct
höfðu	sfg3fþ
tekið	sþghen
að	af
sér	fpkfþ
að	cn
sitja	sng
í	af
stjórn	nveþ
Skáksambands	nhee-s
Íslands	nhee-s
en	c
stóðu	sfg3fþ
skyndilega	aa
og	c
óvænt	aa
með	af
einn	fokeo
stærsta	lkeove
skákviðburð	nkeo
sögunnar	nveeg
í	af
fanginu	nheþg
með	af
illleysanlegustu	lhfþve
ágreiningsefnum	nhfþ
sem	ct
fram	aa
hafa	sfg3fn
komið	sþghen
á	af
skákmótum	nhfþ
.	pl

Nú	aa
eru	sfg3fn
horfnir	sþgkfn
af	af
sjónarsviðinu	nheþg
tveir	tfkfn
menn	nkfn
sem	ct
tóku	sfg3fþ
þátt	nkeo
í	af
þeim	fakeþ
darraðardansi	nkeþ
,	pk
þeir	fpkfn
Ásgeir	nken-s
Friðjónsson	nken-s
og	c
Guðlaugur	nken-s
Guðmundsson	nken-s
.	pl

Eftir	aa
standa	sfg3fn
úr	af
fremstu	lveþve
víglínu	nveþ
Þráinn	nken-s
Guðmundsson	nken-s
,	pk
Hilmar	nken-s
Viggósson	nken-s
og	c
Guðjón	nken-s
Stefánsson	nken-s
auk	af
margra	lkfesf
sem	ct
stóðu	sfg3fþ
aftan	aa
sjálfrar	fbvee
eldlínunnar	nveeg
.	pl

Ég	fp1en
hef	sfg1en
áður	aa
sagt	sþghen
að	c
það	fphen
hafi	svg3en
verið	sþghen
gæfa	nven
íslensku	lveevf
skákhreyfingarinnar	nveeg
að	c
á	af
þessum	fakfþ
örlagatímum	nkfþ
höfðu	sfg3fþ
valist	sþmhen
til	af
starfa	nhfe
þessir	fakfn
menn	nkfn
sem	ct
voru	sfg3fþ
hæfir	lkfnsf
til	af
þess	fphee
að	cn
axla	sng
ábyrgð	nveo
,	pk
áraun	nveo
og	c
eril	nkeo
þessara	fakfe
mánaða	nkfe
.	pl

Þar	aa
var	sfg3eþ
þáttur	nken
Þráins	nkee-s
Guðmundssonar	nkee-s
stór	lkensf
.	pl

Í	af
huga	nkeo
minn	fekeo
koma	sfg3fn
margir	lkfnsf
erfiðir	lkfnsf
fundir	nkfn
og	c
flóknar	lvfnsf
ákvarðanatökur	nvfn
þar	aa
sem	c
tillagna	nvfe
hans	fpkee
og	c
ráða	nhfe
naut	sfg3eþ
við	aa
.	pl

Þeir	fpkfn
Þráinn	nken-s
og	c
Guðlaugur	nken-s
Guðmundsson	nken-s
áttu	sfg3fþ
stóran	lkeosf
þátt	nkeo
í	af
því	fpheþ
að	c
einvígið	nheng
heppnaðist	sfm3eþ
fjárhagslega	aa
og	c
þegar	c
svitinn	nkeng
lak	sfg3eþ
af	af
enni	nheþ
þeirra	fpkfe
í	af
erfiðri	lveþsf
glímu	nveþ
við	af
þær	favfo
þrautir	nvfo
held	sfg1en
ég	fp1en
að	c
hafi	svg3en
myndast	sþmhen
grunnur	nken
að	af
vináttu	nveþ
þessara	fakfe
tveggja	tfkfe
manna	nkfe
sem	ct
stóð	sfg3eþ
traust	lvensf
meðan	c
Guðlaugur	nken-s
lifði	sfg3eþ
.	pl

Þráinn	nken-s
ritaði	sfg3eþ
sögu	nveo
Skáksambands	nhee-s
Íslands	nhee-s
í	af
tveim	tfhfþ
bindum	nhfþ
.	pl

Er	sfg3en
það	fphen
mál	nhen
manna	nkfe
að	c
þar	aa
hafi	svg3en
vel	aa
tekist	sþmhen
til	aa
enda	c
fáir	lkfnsf
ef	c
nokkrir	fokfn
kunnugri	lkfnvm
sögu	nveþ
skákhreyfingarinnar	nveeg
en	c
hann	fpken
.	pl

Ég	fp1en
er	sfg1en
upp	aa
með	af
mér	fp1eþ
af	af
því	fpheþ
að	cn
hafa	sng
átt	sþghen
þátt	nkeo
í	af
því	fpheþ
að	c
hann	fpken
var	sfg3eþ
fenginn	sþgken
til	af
þessara	fahfe
ritstarfa	nhfe
enda	c
hreyfingunni	nveþg
ómetanlegt	lhensf
að	cn
eiga	sng
sögu	nveo
sína	feveo
skráða	lveosf
.	pl

Í	af
því	faheþ
efni	nheþ
mun	sfg3en
framtíðin	nveng
þakka	sng
honum	fpkeþ
.	pl

Þráinn	nken-s
Guðmundsson	nken-s
hefur	sfg3en
verið	sþghen
útnefndur	sþgken
heiðursfélagi	nken
bæði	c
Skáksambands	nhee-s
Íslands	nhee-s
og	c
