Málverkafölsunarmálið	nheng
afskipti	nhfo
af	af
störfum	nhfþ
umboðsmanns	nkee
.	pl

Augljóslega	aa
hafi	svg3en
honum	fpkeþ
og	c
forsetum	nkfþ
Alþingis	nhee-s
þótt	c
nauðsynlegt	lhensf
að	cn
gera	sng
forsætisráðherra	nkeþ
grein	nveo
fyrir	aa
hvaða	fsvfn
reglur	nvfn
gildi	svg3fn
en	c
það	fphen
dugi	svg3en
ekki	aa
eitt	lhensf
og	c
sér	lhenof
.	pl

Helgi	nken-s
Hjörvar	nken-s
,	pk
alþingismaður	nken
(	pa
S	x
)	pa
:	pa
«	pg
Forsætisráðherra	nken
kemst	sfm3en
auðvitað	aa
ekki	aa
hjá	af
því	fpheþ
að	cn
gera	sng
þinginu	nheþg
grein	nveo
fyrir	af
því	fpheþ
hvað	fshen
þarna	aa
var	sfg3eþ
á	af
ferðinni	nveþg
og	c
fjalla	sng
um	af
málið	nheog
á	af
þeim	fakeþ
vettvangi	nkeþ
og	c
það	fphen
verður	sfg3en
auðvitað	aa
eftir	af
því	fpheþ
gengið	sþghen
.	pl
»	pg

Helgi	nken-s
segir	sfg3en
forsætisráðherra	nkeo
hafa	sng
í	af
fjölmiðlum	nkfþ
borið	sþghen
við	af
trúnaði	nkeþ
en	c
hann	fpken
geti	svg3en
ekki	aa
verið	sþghen
bundinn	sþgken
trúnaði	nkeþ
um	af
það	faheo
sem	ct
ekki	aa
hafi	svg3en
farið	sþghen
fram	aa
í	af
samtalinu	nheþg
við	af
umboðsmann	nkeo
Alþingis	nhee-s
.	pl

Helgi	nken-s
Hjörvar	nken-s
:	pa
«	pg
Og	c
hafi	svg3en
hann	fpken
ekki	aa
með	af
ósæmilegum	lkeþsf
hætti	nkeþ
veitt	sþghen
umboðsmanni	nkeþ
tiltal	nheo
fyrir	af
álit	nheo
hans	fpkee
á	af
skipan	nveþ
hæstaréttardómara	nkee
,	pk
þá	aa
getur	sfg3en
hann	fpken
auðvitað	aa
upplýst	sþghen
um	af
það	fpheo
án	af
þess	fphee
að	cn
rjúfa	sng
nokkurn	fokeo
trúnað	nkeo
að	c
það	fphen
hafi	svg3en
ekki	aa
verið	sþghen
efni	nhen
samtalsins	nheeg
.	pl

En	c
því	fpheþ
miður	aam
þá	aa
benda	sfg3fn
yfirlýsingar	nvfn
hans	fpkee
í	af
fjölmiðlum	nkfþ
og	c
nú	aa
þessi	faken
fundur	nken
í	af
dag	nkeo
mjög	aa
eindregið	aa
til	af
þess	fphee
að	c
þar	aa
hafi	svg3en
hann	fpken
gengið	sþghen
langt	aa
úr	aa
fyrir	af
verksvið	nheo
sitt	feheo
og	c
ógnað	sþghen
starfsskilyrðum	nhfþ
umboðsmanns	nkee
Alþingis	nhee-s
,	pk
sem	ct
er	sfg3en
grafalvarlegt	lhensf
mál	nhen
.	pl
»	pg

Samningaviðræðum	nvfþ
frestað	sþghen

Ríkissáttasemjari	nken
ætlar	sfg3en
að	af
svo	aa
komnu	lheþsf
máli	nheþ
ekki	aa
að	cn
kalla	sng
samninganefndir	nvfo
sjómanna	nkfe
og	c
útvegsmanna	nkfe
saman	aa
fyrr	aam
en	c
í	af
ágúst	nkeþ
.	pl

Varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
er	sfg3en
mjög	aa
ósáttur	lkensf
við	af
stöðu	nveo
mála	nhfe
og	c
gagnrýnir	sfg3en
útvegsmenn	nkfo
harðlega	aa
.	pl

Kjarasamningar	nkfn
sjómanna	nkfe
hafa	sfg3fn
verið	sþghen
lausir	lkfnsf
frá	af
áramótum	nhfþ
nema	c
hjá	af
vélstjórum	nkfþ
.	pl

Konráð	nken-s
Alfreðsson	nken-s
,	pk
varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
,	pk
segir	sfg3en
að	c
þrátt	aa
fyrir	af
tilraunir	nvfo
samninganefndar	nvee
Sjómannasambandsins	nheegs
til	af
að	cn
koma	sng
kjaraviðræðum	nvfþ
af	af
stað	nkeþ
hafi	svg3fn
útvegsmenn	nkfn
sýnt	sþghen
algjört	lheosf
áhugaleysi	nheo
á	af
að	cn
ljúka	sng
gerð	nveþ
nýs	lkeesf
samnings	nkee
og	c
reyndar	aa
hafnað	sþghen
öllum	fovfþ
hugmyndum	nvfþ
sjómanna	nkfe
um	af
framvindu	nveo
mála	nhfe
.	pl

Konráð	nken-s
Alfreðsson	nken-s
,	pk
varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
:	pa
«	pg
Ja	au
,	pk
staðan	nveng
er	sfg3en
þannig	aa
að	c
sáttasemjari	nken
vísaði	sfg3eþ
mönnum	nkfþ
bara	aa
heim	aa
núna	aa
fyrir	af
þremur	tfkfþ
dögum	nkfþ
síðan	aa
og	c
sagðist	sfm3eþ
kalla	sng
bara	aa
saman	aa
aftur	aa
í	af
ágúst	nkeþ
.	pl

Hann	fpken
sagðist	sfm3eþ
ekki	aa
sjá	sng
tilgang	nkeo
með	af
því	fpheþ
að	c
menn	nkfn
sætu	svg3fþ
lengur	aam
.	pl

Við	fp1fn
vísuðum	sfg1fþ
deilunni	nveþg
14.	ta
janúar	nkeo
síðastliðinn	lkeosf
til	af
sáttasemjara	nkee
og	c
það	fphen
eru	sfg3fn
búnir	lkfnsf
að	cn
vera	sng
17	ta
fundir	nkfn
síðan	aa
og	c
það	fphen
hefur	sfg3en
nákvæmlega	aa
ekkert	fohen
þokast	sþmhen
í	af
samkomulagsátt	nveo
þrátt	aa
fyrir	af
mikinn	lkeosf
vilja	nkeo
.	pl

Ég	fp1en
tel	sfg1en
að	c
það	fphen
hafi	svg3en
verið	sþghen
mikill	lkensf
vilji	nken
og	c
mikið	aa
búið	lhensf
að	cn
vinna	sng
af	af
hendi	nveþ
Sjómannasambandsins	nheegs
í	af
þessu	faheþ
máli	nheþ
og	c
leggja	sng
fram	aa
tillögur	nvfo
sem	ct
að	aa
ættu	svg3fþ
að	af
okkar	fp1fe
mati	nheþ
að	cn
verða	sng
til	af
lausnar	nvee
á	af
þessari	faveþ
deilu	nveþ
en	c
því	fpheþ
miður	aam
að	aa
þá	aa
virðast	sfm3fn
útvegsmenn	nkfn
sitja	sng
bara	aa
fastir	lkfnsf
í	af
einhverju	foheþ
fari	nheþ
og	c
hreinlega	aa
ekki	aa
vilja	sng
semja	sng
.	pl

Ég	fp1en
held	sfg1en
að	c
það	fphen
liggi	svg3en
orðið	sþghen
ljóst	lhensf
fyrir	aa
að	c
þeir	fpkfn
vilja	sfg3fn
ekki	aa
semja	sng
við	af
okkur	fp1fo
núna	aa
.	pl

Það	fphen
er	sfg3en
að	cn
koma	sng
sjómannadagur	nken
og	c
það	fphen
er	sfg3en
baráttudagur	nken
okkar	fp1fe
og	c
náttúrulega	aa
hátíðisdagur	nken
í	af
leiðinni	nveþg
.	pl

Við	fp1fn
munum	sfg1fn
funda	sng
með	af
okkar	fp1fe
mönnum	nkfþ
og	c
ræða	sng
framhaldið	nheog
og	c
ég	fp1en
á	sfg1en
ekki	aa
von	nveo
á	af
öðru	foheþ
en	c
að	c
það	fphen
verði	svg3en
,	pk
muni	svg3en
myndast	snm
mjög	aa
góð	lvensf
samstaða	nven
meðal	af
sjómanna	nkfe
.	pl

Þeir	fpkfn
hafa	sfg3fn
sýnt	sþghen
það	fpheo
í	af
undangengnum	lvfþsf
deilum	nvfþ
við	af
útvegsmenn	nkfo
að	c
þeir	fpkfn
standa	sfg3fn
saman	aa
sjómenn	nkfn
.	pl
»	pg

Sérfróðir	lkfnsf
og	c
óháðir	lkfnsf

Eiríkur	nken-s
Tómasson	nken-s
,	pk
prófessor	nken
í	af
lögum	nhfþ
við	af
Háskóla	nkeo-s
Íslands	nhee-s
,	pk
segir	sfg3en
að	c
til	af
að	cn
tryggja	sng
hlutlausa	lveosf
sönnun	nveo
í	af
málverkamálinu	nheþg
hefðu	svg3fþ
sérfróðir	lkfnsf
matsmenn	nkfn
þurft	sþghen
að	cn
vera	sng
dómkvaddir	lkfnsf
.	pl

Því	aa
hefði	svg3eþ
ákæruvaldið	nheng
þurft	sþghen
að	cn
fara	sng
fram	aa
á	af
það	fpheo
.	pl

Slíkir	fbkfn
sérfróðir	lkfnsf
matsmenn	nkfn
megi	svg3fn
ekki	aa
vera	sng
tengdir	sþgkfn
neinum	fokeþ
sem	ct
tengist	svm3en
dómsmáli	nheþ
með	af
beinum	lkeþsf
eða	c
óbeinum	lkeþsf
hætti	nkeþ
.	pl

Það	fphen
sé	svg3en
skilyrði	nhen
í	af
íslenskum	lvfþsf
réttarfarslögum	nhfþ
.	pl

Rætt	sþghen
verður	sfg3en
við	af
Eirík	nkeo-s
í	af
Speglinum	nkeþgs
eftir	af
fréttir	nvfo
.	pl

Landslag	nhen
leikið	sþghen
á	af
hörpu	nveo

Héraðsdómur	nken-s
Reykjaness	nhee-s
hefur	sfg3en
dæmt	sþghen
Pétur	nkeo-s
Þór	nkeo-s
Gunnarsson	nkeo-s
,	pk
fyrrverandi	lkeoof
eiganda	nkeo
og	c
framkvæmdastjóra	nkeo
Gallerís	nhee-s
Borgar	nvee-s
,	pk
til	af
að	cn
greiða	sng
Guðrúnu	nveþ-s
Kjarval	nveþ-s
eina	tfveo
milljón	nveo
króna	nvfe
í	af
miskabætur	nvfo
auk	af
málskostnaðar	nkee
og	c
dráttarvaxta	nkfe
í	af
4	ta
ár	nhfo
fyrir	af
að	cn
selja	sng
falsað	lheosf
málverk	nheo
,	pk
sem	ct
merkt	sþghen
var	sfg3eþ
Jóhannesi	nkeþ-s
Kjarval	nkeþ-s
.	pl

Pétur	nken-s
Þór	nken-s
var	sfg3eþ
í	af
fyrradag	nkeo
sýknaður	sþgken
af	af
kröfum	nvfþ
ákæruvaldsins	nheeg
í	af
stóra	lheþvf
málverkafölsunarmálinu	nheþg
svokallaða	lheþvf
.	pl

Guðrún	nven-s
Kjarval	nven-s
fer	sfg3en
með	af
höfundarrétt	nkeo
að	af
verkum	nhfþ
Jóhannesar	nkee-s
S.	ks
Kjarvals	nkee-s
en	c
hún	fpven
er	sfg3en
ekkja	nven
sonar	nkee
hans	fpkee
,	pk
Sveins	nkee-s
Kjarvals	nkee-s
,	pk
og	c
situr	sfg3en
í	af
óskiptu	lheþsf
búi	nheþ
þeirra	fpkfe
.	pl

Eigandi	nken
málverksins	nheeg
sem	ct
um	aa
ræðir	sfg3en
,	pk
danskur	lkensf
maður	nken
að	af
nafni	nheþ
Niels	n----s
Kirschberg	n----s
,	pk
hugðist	sfm3eþ
selja	sng
það	fpheo
á	af
listmunauppboði	nheþ
hjá	af
uppboðshúsinu	nheþg
Bruun	n----s
Rasmussen	n----s
við	af
Bredgade	n----s
í	af
Kaupmannahöfn	nveþ-s
30.	ta
mars	nkeo
síðastliðinn	lkeosf
.	pl

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
forvörður	nken
benti	sfg3eþ
á	af
að	c
myndin	nveng
væri	svg3eþ
að	af
öllum	fohfþ
líkindum	nhfþ
eftirlíking	nven
af	af
mynd	nveþ
eftir	af
Kjarval	nkeo-s
,	pk
Landslag	nhen-s
leikið	sþghen
á	af
hörpu	nveo
,	pk
sem	ct
hangir	sfg3en
uppi	aa
í	af
ráðherrabústaðnum	nkeþg
.	pl

Niels	n----s
Kirschberg	n----s
hafði	sfg3eþ
aftur	aa
á	aa
móti	aa
keypt	sþghen
myndina	nveog
á	af
uppboði	nheþ
hjá	af
Gallerí	nheþ-s
Borg	nveþ-s
árið	nheog
1994	ta
.	pl

Í	af
lýsingu	nveþ
málsatvika	nhfe
,	pk
sem	ct
lögð	sþgven
var	sfg3eþ
fyrir	af
Héraðsdóm	nkeo-s
Reykjaness	nhee-s
,	pk
kemur	sfg3en
fram	aa
að	c
ljóst	lhensf
sé	svg3en
að	c
myndin	nveng
hafi	svg3en
verið	sþghen
máluð	sþgven
yfir	af
aðra	foveo
mynd	nveo
og	c
sú	faven
mynd	nven
var	sfg3eþ
eftir	af
danska	lkeovf
málarann	nkeog
Mogens	n----s
Hoff	n----s
.	pl

Til	af
að	cn
mála	sng
yfir	af
hana	fpveo
var	sfg3eþ
notuð	sþgven
til	af
þess	fphee
alkíð	lvensf
málning	nven
en	c
þá	faveo
málningu	nveo
hafi	svg3en
Jóhannes	nken-s
S.	ks
Kjarval	nken-s
ekki	aa
notað	sþghen
.	pl

Þessa	faveo
mynd	nveo
Mogens	n----s
Hoff	n----s
sem	ct
síðar	aam
var	sfg3eþ
yfirmáluð	sþgven
keypti	sfg3eþ
Pétur	nken-s
Þór	nken-s
Gunnarsson	nken-s
í	af
fyrrnefndu	lheþsf
uppboðshúsi	nheþ
Bruun	n----s
og	c
Rasmussen	n----s
í	af
Kaupmannahöfn	nveþ-s
,	pk
samkvæmt	af
gögnum	nhfþ
hússins	nheeg
.	pl

Þegar	c
þetta	fahen
komst	sfm3eþ
í	af
hámæli	nheo
í	af
fréttum	nvfþ
í	af
síðasta	lkeþve
mánuði	nkeþ
neitaði	sfg3eþ
Pétur	nken-s
Þór	nken-s
því	fpheþ
hins	fakee
vegar	nkee
að	c
hann	fpken
hefði	svg3eþ
nokkru	foheþ
sinni	nheþ
keypt	sþghen
myndina	nveog
.	pl

Dómþing	nhen
í	af
máli	nheþ
Guðrúnar	nvee-s
Kjarval	nvee-s
á	af
hendur	nvfo
Pétri	nkeþ-s
Þór	nkeþ-s
var	sfg3eþ
haldið	sþghen
12.	ta
maí	nkeo
en	c
Pétur	nken-s
Þór	nken-s
tók	sfg3eþ
ekki	aa
til	af
varna	nvfe
í	af
málinu	nheþg
.	pl

Dómurinn	nkeng
féllst	sfm3eþ
í	af
framhaldinu	nheþg
á	af
dómkröfur	nvfo
stefnandans	nkeeg
um	af
eina	tfveo
milljón	nveo
króna	nvfe
í	af
miskabætur	nvfo
auk	af
vaxta	nkfe
.	pl

Samkvæmt	af
einkamálalögum	nhfþ
á	sfg3en
Pétur	nken-s
þó	aa
enn	aa
möguleika	nkeo
á	aa
fara	sng
fram	aa
á	af
endurupptöku	nveo
málsins	nheeg
.	pl

Seldar	sþgvfn
í	af
góðri	lveþsf
trú	nveþ
?	pl

Eftir	af
að	c
sýknudómur	nken
Hæstaréttar	nkee-s
féll	sfg3eþ
í	af
stóra	lheþvf
málverkafölsunarmálinu	nheþg
geta	sfg3fn
eigendur	nkfn
þeirra	favfe
fjölmörgu	lvfevf
mynda	nvfe
sem	ct
þar	aa
var	sfg3eþ
um	aa
fjallað	sþghen
selt	sþghen
þær	fpvfo
í	af
góðri	lveþsf
trú	nveþ
án	af
þess	fphee
að	c
þeim	fpkfþ
verði	svg3fn
refsað	sþghen
fyrir	af
það	fpheo
.	pl

Þetta	faheo
segir	sfg3en
Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
forvörður	nken
.	pl

Ólafur	nken-s
segir	sfg3en
það	fpheo
grafalvarlegt	lheosf
mál	nheo
hvað	fshen
um	af
myndirnar	nvfog
verður	sfg3en
.	pl

Fjallað	sþghen
var	sfg3eþ
um	af
42	ta
myndir	nvfo
í	af
Hæstarétti	nkeþ-s
og	c
100	ta
í	af
héraðsdómi	nkeþ
.	pl

Ólafur	nken-s
segir	sfg3en
mörg	lhfosf
dæmi	nhfo
þess	fphee
að	c
menn	nkfn
,	pk
sem	ct
ekki	aa
eru	sfg3fn
sáttir	lkfnsf
við	af
að	cn
hafa	sng
keypt	sþghen
falsanir	nvfo
,	pk
hafi	svg3fn
reynt	sþghen
að	cn
koma	sng
þeim	fpvfþ
aftur	aa
í	af
umferð	nveo
og	c
nefnir	sfg3en
nýlegt	lheosf
dæmi	nheo
.	pl

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
,	pk
forvörður	nken
:	pa
«	pg
Það	fahen
verk	nhen
sem	ct
var	sfg3eþ
keypt	sþghen
hjá	af
Gallerí	nheþ-s
Borg	nveþ-s
1994	ta
sem	ct
Jóhannes	nken-s
Kjarval	nken-s
var	sfg3eþ
selt	sþghen
fyrir	af
einu	tfheþ
ári	nheþ
síðan	aa
á	af
1	ta
milljón	nveo
krónur	nvfo
.	pl

Það	fphen
átti	sfg3eþ
síðan	aa
að	cn
nota	sng
það	fpheo
fyrir	af
1	ta
mánuði	nkeþ
síðan	aa
í	aa
,	pk
upp	aa
í	af
íbúðarkaup	nhfo
og	c
var	sfg3eþ
þá	aa
verðmetið	sþghen
á	af
1,5	ta
milljón	nveo
.	pl

Einstaklingurinn	nkeng
sem	ct
selur	sfg3en
verkið	nheog
núverandi	lkeþof
eiganda	nkeþ
2002	ta
mátti	sfg3eþ
vita	sng
að	c
verkið	nheng
væri	svg3eþ
falsað	lhensf
.	pl
»	pg

Og	c
nú	aa
er	sfg3en
það	fphen
verðlaust	lhensf
,	pk
segir	sfg3en
Ólafur	nken-s
Ingi	nken-s
.	pl

Þarna	aa
er	sfg3en
verið	sþghen
að	cn
dreifa	sng
þeirri	faveþ
ábyrgð	nveþ
sem	ct
eigendur	nkfn
gallerísins	nheeg
báru	sfg3fþ
og	c
eiga	sfg3fn
að	cn
bera	sng
yfir	aa
á	af
aðra	fokfo
aðila	nkfo
sem	ct
annaðhvort	c
selja	sfg3fn
verkin	nhfog
í	af
góðri	lveþsf
trú	nveþ
eða	c
gegn	af
betri	lveþvm
vitund	nveþ
,	pk
segir	sfg3en
Ólafur	nken-s
.	pl

En	c
hver	fshfn
hafa	sfg3fn
áhrifin	nhfng
af	af
þessu	x
málarekstri	nkeþ
verið	sþghen
?	pl

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
:	pa
«	pg
Sko	au
,	pk
það	fahen
sem	ct
að	c
ávannst	sfm3eþ
í	af
þessu	faheþ
máli	nheþ
helst	aae
af	af
öllu	foheþ
er	sfg3en
það	fphen
að	c
árið	nheog
1997	ta
þegar	c
ég	fp1en
lagði	sfg1eþ
fram	aa
kærur	nvfo
að	aa
þá	aa
hættu	sfg3fþ
að	cn
birtast	snm
á	af
íslenskum	lkeþsf
markaði	nkeþ
fölsuð	lhfnsf
verk	nhfn
.	pl

Starfsemin	nveng
var	sfg3eþ
í	af
fullum	lkeþsf
gangi	nkeþ
og	c
þetta	fahen
er	sfg3en
allmennt	x
viðurkennt	sþghen
.	pl
»	pg

Umræður	nvfn
standa	sfg3fn
enn	aa

Enn	aa
stendur	sfg3en
yfir	aa
á	af
Alþingi	nheþ-s
þriðja	lvenvf
umræða	nven
um	af
fjölmiðlafrumvarp	nheo
forsætisráðherra	nkee
og	c
enn	aa
eru	sfg3fn
átta	tfkfn
á	af
mælendaskrá	nveþ
.	pl

Halldór	nken-s
Blöndal	nken-s
,	pk
forseti	nken
Alþingis	nhee-s
hefur	sfg3en
setið	sþghen
á	af
fundi	nkeþ
með	af
þingflokksformönnum	nkfþ
til	af
að	cn
ræða	sng
um	af
störf	nhfo
þingsins	nheeg
framundan	aa
og	c
var	sfg3eþ
honum	fpkeþ
ekki	aa
lokið	sþghen
nú	aa
rétt	aa
áðan	aa
.	pl

Ætlunin	nveng
mun	sfg3en
vera	sng
að	cn
greiða	sng
atkvæði	nhfo
um	af
fjölmiðlafrumvarpið	nheog
á	af
mánudag	nkeo
,	pk
en	c
ljúka	sng
umræðum	nvfþ
í	af
kvöld	nheo
eða	c
á	af
morgun	nkeo
.	pl

Stjórnarandstaðan	nveng
kveðst	sfm3en
ekki	aa
semja	sng
um	af
eitt	foheo
eða	c
neitt	foheo
í	af
því	faheþ
máli	nheþ
.	pl

Þá	aa
er	sfg3en
samkvæmt	af
heimildum	nvfþ
fréttastofu	nvee
áætlað	sþghen
að	c
hægt	lhensf
verði	svg3en
að	cn
hafa	sng
eldhúsdagsumræður	nvfo
á	af
mánudagskvöld	nheo
.	pl

Ef	c
svo	aa
er	sfg3en
hlýtur	sfg3en
eitthvert	fohen
samkomulag	nhen
að	cn
vera	sng
í	af
sjónmáli	nheþ
um	af
þinghaldið	nheog
framundan	aa
og	c
afgreiðslu	nveo
eða	c
frestun	nveo
umdeildra	lhfesf
mála	nhfe
svo	aa
sem	c
frumvarps	nhee
um	af
olíugjald	nheo
og	c
frumvarps	nhee
um	af
réttindi	nhfo
og	c
skyldur	nvfo
.	pl

En	c
hugsanlega	aa
er	sfg3en
eitthvað	fohen
af	af
þessu	faheþ
umræðuefni	nheþ
á	af
fundi	nkeþ
forseta	nkee
með	af
þingflokksformönnum	nkfþ
sem	ct
enn	aa
stendur	sfg3en
.	pl

Ólga	nven
í	af
Framsókn	nveþ-s

Varaformaður	nken
Framsóknarflokks	nkee-s
segir	sfg3en
ólgu	nveo
hafa	sng
verið	sþghen
í	af
flokknum	nkeþg
vegna	af
fjölmiðlafrumvarpsins	nheeg
.	pl

Formaður	nken
flokksins	nkeeg
segir	sfg3en
að	c
flokkurinn	nkeng
væri	svg3eþ
ekki	aa
elsti	lkenve
starfandi	lkenof
stjórnmálaflokkur	nken
landsins	nheeg
ef	c
hann	fpken
hefði	svg3eþ
ekki	aa
á	aa
stundum	aa
þurft	sþghen
að	cn
takast	snm
á	aa
við	af
erfið	lhfosf
mál	nhfo
.	pl

Formaður	nken
og	c
varaformaður	nken
Framsóknar	nvee-s
játa	sfg3fn
nú	aa
að	c
fjölmiðlafrumvarpið	nheng
hafi	svg3en
reynst	sþmhen
flokknum	nkeþg
erfiður	lkensf
ljár	nken
í	af
þúfu	nveþ
.	pl

Halldór	nken-s
Ásgrímsson	nken-s
,	pk
formaður	nken
flokksins	nkeeg
kannast	sfm3en
þó	aa
ekki	aa
við	af
að	c
Jónína	nven-s
Bjartmarz	nven-s
,	pk
varaformaður	nken
allsherjarnefndar	nvee
hafi	svg3en
verið	sþghen
beitt	sþgven
þrýstingi	nkeþ
vegna	af
fjölmiðlafrumvarpsins	nheeg
.	pl

Halldór	nken-s
Ásgrímsson	nken-s
,	pk
utanríkisráðherra	nken
(	pa
B	x
)	pa
:	pa
«	pg
Framsóknarflokkurinn	nkengs
stendur	sfg3en
að	af
þessu	faheþ
máli	nheþ
og	c
hefur	sfg3en
ávallt	aa
staðið	sþghen
að	af
því	fpheþ
og	c
við	fp1fn
erum	sfg1fn
að	cn
ljúka	sng
þessari	faveþ
umræðu	nveþ
fljótlega	aa
og	c
munum	sfg1fn
ljúka	sng
málinu	nheþg
annaðhvort	c
í	af
dag	nkeo
eða	c
á	af
morgun	nkeo
.	pl
»	pg

Ólöf	nven-s
Rún	nven-s
Skúladóttir	nven-s
:	pa
«	pg
Það	fphen
hafa	sfg3fn
komið	sþghen
fram	aa
gagnrýnisraddir	nvfn
.	pl

Vísarðu	sfg2en
þeim	fpvfþ
á	af
bug	nkeo
eða	c
horfist	sfm2en
þú	fp2en
ekki	aa
í	af
augu	nhfo
við	af
það	faheo
sem	ct
að	x
að	cn
gerast	snm
í	af
þínum	fekeþ
flokki	nkeþ
?	pl
»	pg

Halldór	nken-s
Ásgrímsson	nken-s
:	pa
«	pg
Ég	fp1en
vísa	sfg1en
aldrei	aa
gagnrýni	nveþ
á	af
bug	nkeo
.	pl

Mér	fp1eþ
finnst	sfm3en
það	fphen
ósköp	nhfn
eðlilegt	lhensf
að	c
það	fphen
komi	svg3fn
fram	aa
mismunandi	lvfnof
skoðanir	nvfn
á	af
málum	nhfþ
og	c
Framsóknarflokkurinn	nkengs
væri	svg3eþ
nú	aa
ekki	aa
elsti	lkenve
starfandi	lkenof
stjórnmálaflokkurinn	nkeng
í	af
dag	nkeo
ef	c
að	c
hann	fpken
hefði	svg3eþ
ekki	aa
einhvern	fokeo
tímann	nkeog
þurft	sþghen
að	cn
ganga	sng
í	aa
gegnum	af
erfið	lhfosf
mál	nhfo
.	pl
»	pg

Guðni	nken-s
Ágústsson	nken-s
,	pk
varaformaður	nken
Framsóknar	nvee-s
segir	sfg3en
Framsóknarflokkinn	nkeogs
munu	sng
jafna	sng
sig	fpkeo
á	af
fjölmiðlafrumvarpinu	nheþg
þótt	c
öldur	nvfn
hafi	svg3fn
risið	sþghen
hátt	aa
.	pl

Guðni	nken-s
Ágústsson	nken-s
,	pk
landbúnaðarráðherra	nken
(	pa
B	x
)	pa
:	pa
«	pg
Það	fphen
er	sfg3en
engin	foven
spurning	nven
í	af
mínum	fekeþ
huga	nkeþ
að	c
það	fphen
hefur	sfg3en
bæði	c
verið	sþghen
ólga	nven
í	af
mínum	fekeþ
flokki	nkeþ
það	fphen
hefur	sfg3en
verið	sþghen
ólga	nven
í	af
þjóðfélaginu	nheþg
.	pl

Enda	aa
hefur	sfg3en
málið	nheng
verið	sþghen
þannig	aa
til	af
umfjöllunar	nvee
bæði	c
í	af
fjölmiðlum	nkfþ
og	c
þinginu	nheþg
að	c
mörgum	lkfþsf
hitnar	sfg3en
í	af
hamsi	nkeþ
og	c
margir	lkfnsf
verða	sfg3fn
heitir	lkfnsf
og	c
jafnvel	aa
þó	aa
þeir	fpkfn
átti	svg3fn
sig	fpkfo
ekki	aa
á	af
því	fpheþ
um	af
hvað	fsheo
málið	nheng
snýst	sfm3en
.	pl

Þannig	aa
að	c
ég	fp1en
held	sfg1en
nú	aa
að	c
þegar	c
að	c
þessar	favfo
öldur	nvfo
lægi	svg3en
þá	aa
jafnar	sfg3en
Framsóknarflokkurinn	nkengs
sig	fpkeo
enda	c
haft	sþghen
mikil	lhfosf
áhrif	nhfo
í	af
þessu	faheþ
máli	nheþ
og	c
þjóðfélagið	nheng
áttar	sfg3en
sig	fpheo
líka	aa
á	af
því	fpheþ
að	c
þetta	fahen
er	sfg3en
almennt	lhensf
frumvarp	nhen
um	af
lýðræði	nheo
.	pl
»	pg

Framsókn	nven-s
og	c
jafnrétti	nhen

Konur	nvfn
á	af
málþingi	nheþ
framsóknarkvenna	nvfe
sem	ct
haldið	sþghen
var	sfg3eþ
í	af
dag	nkeo
telja	sfg3fn
að	c
það	fphen
yrði	svg3eþ
mikil	lvensf
afturför	nven
og	c
stríði	svg3en
gegn	af
jafnréttisáætlun	nveþ
flokksins	nkeeg
ef	c
konum	nvfþ
í	af
ráðherraliðinu	nheþg
yrði	svg3eþ
fækkað	sþghen
.	pl

Þær	fpvfn
krefjast	sfm3fn
þess	fphee
að	c
við	af
væntanlegar	lvfosf
breytingar	nvfo
á	af
ríkisstjórn	nveþ
í	af
haust	nheo
verði	svg3en
hlutur	nken
kvenna	nvfe
ekki	aa
rýrari	lkenvm
en	c
nú	aa
.	pl

Formaður	nken
Ungra	lkfesf
framsóknarmanna	nkfe
telur	sfg3en
ekki	aa
eðlilegt	lheosf
að	c
konurnar	nvfng
geri	svg3fn
kröfu	nveo
um	af
meira	lheovm
en	c
þriðjung	nkeo
embætta	nhfe
í	af
samræmi	nheþ
við	af
fjölda	nkeo
þeirra	fpvfe
í	af
flokknum	nkeþg
.	pl

Konurnar	nvfng
eru	sfg3fn
margar	lvfnsf
andvígar	lvfnsf
því	faheþ
áliti	nheþ
.	pl

Fjörlegar	lvfnsf
umræður	nvfn
spunnust	sfm3fþ
um	af
hlut	nkeo
kvenna	nvfe
í	af
stjórnmálum	nhfþ
og	c
áhugasvið	nhfo
kvenna	nvfe
og	c
karla	nkfe
á	af
málþinginu	nheþg
.	pl

Tvær	tfvfn
konur	nvfn
og	c
fjórir	tfkfn
karlar	nkfn
eru	sfg3fn
nú	aa
í	af
ráðherraliði	nheþ
flokksins	nkeeg
.	pl

Vitað	sþghen
er	sfg3en
að	cn
fækka	sng
þarf	sfg3en
um	af
einn	tfkeo
í	af
haust	nheo
.	pl

Siv	nven-s
Friðleifsdóttir	nven-s
er	sfg3en
enn	aa
umhverfisráðherra	nken
.	pl

Breyting	nven
verður	sfg3en
þar	aa
á	aa
