-	pa
málið	nheng
skal	svg3en
kærast	snm
til	af
Landsrættin	nkeog

Partarnir	nkfng
hava	sng
tvær	tfvfo
vikur	nvfo
til	aa
at	cn
umhugsa	sng
dómin	nkeog
.	pl

Áhugin	nkeng
er	svg3en
sera	aa
stórur	lkensf
,	pk
sigur	svg3en
hann	fpken
,	pk
og	c
fólk	nhfn
spyrja	svg3fn
hann	fpkeo
eisini	aa
um	af
,	pk
hvat	fshen
ið	ct
tað	fphen
næsta	lhense
verður	svg3en
,	pk
sum	c
hann	fpken
fer	svg3en
í	af
holt	n---
við	aa
av	af
íbúðarbygging	nveþ	UNKNOWN
.	pl

Sambært	af
byggimeistaranum	nkeþg	UNKNOWN
vísir	svg3en
tað	fphen
seg	fpheo
,	pk
at	c
fleiri	lhfnsm	UNKNOWN
og	c
fleiri	lhfnsm	UNKNOWN
eru	svg3fn	UNKNOWN
áhugaði	lhensf	UNKNOWN
í	af
at	cn
hava	sng
okkurt	fbheo
minni	aam
at	cn
búgva	sng
í	aa
,	pk
tí	c
tey	fphfn
tíma	svg3fn
ikki	aa
at	cn
hava	sng
so	aa
nógv	lheosf
at	cn
fara	sng
um	aa
,	pk
sigur	svg3en
hann	fpken
.	pl

Sosialurin	nkeng	UNKNOWN
ger	svg3en
nú	aa
eisini	aa
útvarp	nheo

Seinastu	lvfove
árini	nhfog
hevur	svg3en	UNKNOWN
blaðið	nheng
eisini	aa
skrivað	sþmhen
tíðindini	nhfog
til	af
www.portal.fo	n---	UNKNOWN
hjá	af
Føroya	nvfþ-s	UNKNOWN
Tele	e	UNKNOWN
,	pk
sum	ct
er	svg3en
Føroya	nvfþ-s	UNKNOWN
nógv	aa
mest	aae
vitjaða	sþmven	UNKNOWN
heimasíða	nven
.	pl

Mennandi	slg
samstarv	nhen

Stórur	lkensf
áhugi	nken
er	svg3en
fyri	af
sethúsum	nhfþ
,	pk
og	c
serliga	aa
tey	fahfn
nýggjaru	lhfnvm	UNKNOWN
húsini	nhfng
eru	svg3fn	UNKNOWN
løtt	aa
at	cn
sleppa	sng
av	aa
við	aa
,	pk
verður	svg3en
sagt	sþmhen
hjá	af
Húsamekling	nveþ	UNKNOWN
.	pl

Foto	e	UNKNOWN
:	pl
Terji	nken-s	UNKNOWN
Nielsen	n----s	UNKNOWN

Tað	fphen
hevur	svg3en	UNKNOWN
ljóðað	sþmhen
,	pk
at	c
manningarparturin	nkeng	UNKNOWN
er	svg3en
einar	to
250.000	ta	UNKNOWN
krónur	nvfn
,	pk
men	c
tað	fpheo
vil	svg3en
reiðarin	nkeng
ikki	aa
vátta	sng
.	pl

Mortan	nken-s	UNKNOWN
Johannesen	n----s	UNKNOWN
sigur	svg3en
,	pk
at	cn
ilt	lhensf
er	svg3en
at	cn
spáa	sng
um	af
,	pk
hvussu	aa
gongdin	nveng
verður	svg3en
.	pl

Sonny	nken-s	UNKNOWN
Johannesen	n----s	UNKNOWN
,	pk
skipari	nken
á	af
Ennibergi	nheþ-s	UNKNOWN
,	pk
sigur	svg3en
,	pk
at	c
hann	fpken
frætti	svg3eþ
um	af
umrøðuna	nveog
,	pk
hetta	fahen
eina	lo
hálið	nheng
fekk	svg3eþ	UNKNOWN
,	pk
men	c
vísir	svg3en
á	af
,	pk
at	c
teir	fpkfn
høvdu	svg3fþ
onnur	fbhfo
hál	nhfo
,	pk
sum	ct
vóru	svg3fþ	UNKNOWN
á	af
leið	nveþ
líka	aa
so	aa
stór	lhfnsf
.	pl

Skiparin	nkeng
sigur	svg3en
,	pk
at	c
fiskurin	nkeng
,	pk
teir	fpkfn
fingu	svg3fþ	UNKNOWN
í	af
russiskum	lkeþsf
sjógvi	nkeþ
,	pk
serliga	aa
í	af
byrjanini	nveþg
var	svg3eþ
ógvuliga	aa
góður	lkensf
.	pl

Tað	fphen
er	svg3en
hetta	fahen
,	pk
sum	c
Strandferðslan	nveng
hevur	svg3en	UNKNOWN
lagt	sþmhen
seg	fpveo
eftir	aa
,	pk
nú	aa
hon	fpven
er	svg3en
farin	sþmven	UNKNOWN
at	cn
fyrireika	sng
nýggju	lvfovf	UNKNOWN
ferðaætlanina	nveog
,	pk
sum	ct
skal	svg3en
koma	sng
í	af
gildi	nheo
í	af
summar	nheo
og	c
sum	ct
sostatt	aa
skal	svg3en
verða	sng
galdandi	slg	UNKNOWN
tað	fpheo
næsta	lheove
árið	nheog
.	pl

Fáa	sng
betri	aam
samband	nheo

Eitt	fbhen
nú	aa
er	svg3en
ógreitt	lhensf
,	pk
hvussu	aa
nógv	aa
Ternan	nveng
fer	svg3en
at	cn
sigla	sng
afturat	aa
Dúgvuni	nveþg
.	pl

Eftir	af
greinina	nveog
,	pk
vit	fp1fn
høvdu	svg3fþ
í	af
Sosialinum	nkeþg	UNKNOWN
í	af
gjár	n---	UNKNOWN
um	af
tungu	lveovf
ferðsluna	nveog
gjøgnum	af
Leirvíksbygd	nveo	UNKNOWN
,	pk
hevur	svg3en	UNKNOWN
ein	fbken
lesari	nken
í	af
Leirvík	nveþ-s	UNKNOWN
vent	sþmhen
sær	fpkeþ
til	af
blaðið	nheog
.	pl

Sumbingar	nkfn
heiðraðir	sþgkfn	UNKNOWN
fyri	af
føroyskan	lkeosf
dans	nkeo

Tá	aa
dansaðu	svg3fþ
sumbingar	nkfn
føroyskan	lkeosf
dans	nkeo
fyri	af
teimum	fakfþ
ógvuliga	aa
hugtiknu	lkfþvf	UNKNOWN
íslendingunum	nkfþg
.	pl

Í	af
veruleikanum	nkeþg
gevi	svg1en
eg	fp1en
Fíggingargrunninum	nkeþg
frá	af
1992	ta	UNKNOWN
heimild	nveo
til	aa
at	cn
skipa	sng
fyri	af
"	pg
frægasta	lheþve	UNKNOWN
lutfallinum	nheþg
millum	af
egin	nkeo
-	pa
og	c
fremmandakapital	nkeo	UNKNOWN
"	pg
í	af
Føroya	nvfe-s	UNKNOWN
Banka	nkeþ
.	pl

Men	c
ein	fbken
annar	fbken
spurningur	nken
er	svg3en
,	pk
um	aa
20	tp	UNKNOWN
%	m
er	svg3en
rætta	lhenvf
talið	nheng
,	pk
tá	c
hugsað	sþmhen
verður	svg3en
um	af
sølu	nveo
av	af
partabrøvum	nhfþ
í	af
Føroya	nvfe-s	UNKNOWN
Banka	nkeþ
.	pl

Hetta	fahen
er	svg3en
eitt	fbhen
politiskt	lhensf
signal	nhen
,	pk
sigur	svg3en
Bárður	nken-s	UNKNOWN
Nielsen	n----s	UNKNOWN
,	pk
fíggjarmálaráðharri	nken
.	pl

Ársúrslit	nhen	UNKNOWN

Í	af
heyst	nheo
letur	svg3en
eitt	fbhen
slóðbrótandi	lo
virki	nhen
upp	aa
á	af
Eiði	nheþ-s
sum	c
skal	svg3en
gagnnýta	sng
tann	fakeo
partin	nkeog
av	af
okkara	fp1fe
fiskatilfeingi	nheþ	UNKNOWN
,	pk
sum	ct
fyri	af
tað	fpheo
mesta	lheose
verður	svg3en
tveittur	sþmken	UNKNOWN
í	af
havið	nheog

Føroyingar	nkfn
eiga	svg3fn
80	tp	UNKNOWN
%	m
av	af
virkinum	nheþg
og	c
útlendingar	nkfn
20	tp	UNKNOWN
%	m
.	pl

Lýsi	nhen
hevur	svg3en	UNKNOWN
drúgvar	lvfosf
royndir	nvfo
við	af
biotekniskari	lveþsf	UNKNOWN
framleiðslu	nveþ
og	c
sølu	nveþ
og	c
løtuni	nveþg
eru	svg3fn	UNKNOWN
tvey	tfhfn
fólk	nhfn
frá	af
Faroe	e	UNKNOWN
Marine	e	UNKNOWN
Biotech	e	UNKNOWN
yviri	aa
hjá	af
Lýsi	nheþ
og	c
kunna	svg3fn
seg	fpheo
um	af
framleiðsluna	nveog
og	c
teknikk	nkeo
.	pl

Men	c
hann	fpken
væntar	svg3en
at	c
tað	fphen
liggur	svg3en	UNKNOWN
longri	aam	UNKNOWN
frammi	aa
í	af
tíðini	nveþg
hann	fpken
væntar	svg3en
,	pk
at	c
tað	fphen
ganga	svg3fn
eini	to
fimm	tf
ár	nhfn
,	pk
áðrenn	aa
farast	snm	UNKNOWN
kann	svg3en
undir	af
triðja	lheovf
framleiðslustigið	nheog	UNKNOWN
.	pl

Og	c
tað	fphen
ber	svg3en
til	aa
alla	fbheo
aðrastaðni	aa
so	aa
hann	fpken
ivast	svg3en
heldur	aam
ikki	aa
í	af
,	pk
at	cn
tað	fphen
eisini	aa
ber	svg3en
til	aa
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

1.	ta	UNKNOWN
mai	nkeo
verður	svg3en
sum	c
vanligt	aa
hildin	sþmken	UNKNOWN
í	af
Havn	nveþ-s
seinnapartin	nkeog

Men	c
Havnin	nvengs
er	svg3en
væl	aa
útgjørd	sþmven
í	af
so	af
máta	nkeo
,	pk
so	aa
Arbeiðsmannafelagið	nheng
hevur	svg3en	UNKNOWN
fingið	sþmhen	UNKNOWN
GHM	ks	UNKNOWN
at	cn
spæla	sng
ístaðin	aa
,	pk
sigur	svg3en
Hans	nken-s
Joensen	n----s	UNKNOWN
.	pl

Men	c
so	aa
er	svg3en
tað	fphen
aftur	aa
fyri	aa
okkara	fp1fe
uppgáva	nven
at	cn
upplýsa	sng
fólk	nhfo
um	af
hetta	faheo
,	pk
soleiðis	aa
at	c
undirtøkan	nveng
til	af
eitt	fbheo
nú	aa
1.	ta	UNKNOWN
maidagshaldini	nhfog	UNKNOWN
gerst	svm3en	UNKNOWN
betri	aam
.	pl

Hetta	fahen
kann	svg3en
ikki	aa
annað	fbhen
enn	aa
síggjast	sng	UNKNOWN
aftur	aa
í	af
heimarøktini	nveþg
.	pl

Hann	fpken
sigur	svg3en
,	pk
at	c
fólkini	nhfng
fyrr	aam
hava	svg3fn
fingið	sþmhen	UNKNOWN
noktað	lhfnsf
friðskjól	nheo
í	af
Svøríki	nheþ-s	UNKNOWN
,	pk
og	c
vísir	svg3en
annars	aa
til	af
útlendingalógina	nveog	UNKNOWN
,	pk
og	c
almenna	lkeovf
ákæran	nkeog
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Berandi	lo
lítla	lheovf
barnið	nheog
,	pk
ein	fbveo
ryggsekk	nkeo
og	c
ein	fbkeo
svartan	lkeosf
plastiksekk	nkeo	UNKNOWN
eins	c
og	c
ein	fbkeo
urtapott	nkeo
,	pk
tey	fphfn
ikki	aa
høvdu	svg3fþ
skrivað	sþmhen
inn	aa
saman	aa
við	af
øðrum	fbheþ
smávegis	aa
viðføri	nheþ
.	pl

Kostnaðarmetingin	nveng
av	af
nýggja	lheþvf
høvuðssætinum	nheþg
hjá	af
Føroya	nvfe-s	UNKNOWN
Tele	e	UNKNOWN
er	svg3en
93	ta	UNKNOWN
milliónir	nven
krónur	nvfn
,	pk
og	c
stjórin	nkeng
á	af
Føroya	nvfe-s	UNKNOWN
Tele	e	UNKNOWN
,	pk
Andras	nken-s	UNKNOWN
Róin	n----s
,	pk
sigur	svg3en
,	pk
at	c
tað	fphen
sær	svg3en
út	aa
til	aa
,	pk
at	c
metingin	nveng
fer	svg3en
at	cn
halda	sng
.	pl

Andras	nken-s	UNKNOWN
Róin	n----s
sigur	svg3en
,	pk
at	c
leiðslan	nveng
á	af
Føroya	nvfe-s	UNKNOWN
Tele	e	UNKNOWN
metir	svg3en
,	pk
at	c
í	af
nýggja	lkeþvf
bygninginum	nkeþg
er	svg3en
rúm	nhen
fyri	af
øllum	fbheþ
virkseminum	nheþg
hjá	af
stovninum	nkeþg
,	pk
og	c
tí	c
er	svg3en
ikki	aa
tørvur	nken
á	af
gamla	lkeþvf
bygninginum	nkeþg
.	pl

Nú	aa
er	svg3en
Óli	nken-s	UNKNOWN
Samró	n----s	UNKNOWN
og	c
FAREC	ks	UNKNOWN
aftur	aa
klárir	lkfnsf
við	af
nýggjum	lhfþsf
tølum	nhfþ
.	pl

-	pa
Um	af
tann	faveo
føroyska	lvenvf
fiskivinnan	nveng
ella	c
fyri	af
ta	faveo
skuld	nveo
ein	fbven
og	c
hvør	fsven
fiskivinna	nven
í	af
heiminum	nkeþg
skal	svg3en
yvirliva	sng	UNKNOWN
,	pk
so	aa
noyðast	svm3fn
tey	fphfn
viðganga	svg3fn
at	cn
tey	fphfn
eru	svg3fn	UNKNOWN
partur	nken
av	af
einum	fbkeþ
globaliseraðum	lkeþsf	UNKNOWN
heimi	nkeþ
og	c
seta	sng
seg	fpheo
inn	aa
í	af
hvussu	aa
altjóða	lkensf
leikpallurin	nkeng
virkar	svg3en
,	pk
sigur	svg3en
Óli	nken-s	UNKNOWN
Samró	n----s	UNKNOWN
.	pl

Talan	nven
var	svg3eþ
bert	aa
um	af
fiskastovnar	nkfo
,	pk
ráfiskalóg	nveo	UNKNOWN
og	c
annað	fbheo
sum	ct
stýrdi	svg3eþ
tí	faveþ
heimligu	lveþsf	UNKNOWN
fiskivinnuni	nveþg
.	pl

Trygging	nven
í	af
nýggjum	lhfþsf
hølum	nhfþ

-	pa
Tryggingarfelagið	nheng
hevur	svg3en	UNKNOWN
nú	aa
funnið	sþmhen
høli	nhfo
,	pk
sum	ct
eru	svg3fn	UNKNOWN
væl	aa
egnað	sþghfn	UNKNOWN
til	af
endamálið	nheog
,	pk
segði	svg3eþ
Mortan	nken-s	UNKNOWN
Poulsen	n----s	UNKNOWN
,	pk
og	c
vísti	svg3eþ
á	af
,	pk
at	c
hetta	fahen
var	svg3eþ
grundin	nveng
til	af
,	pk
at	c
flutt	sþmhen
varð	svg3eþ	UNKNOWN
júst	aa
til	af
Sandavágs	nkee-s	UNKNOWN
.	pl

Orsøkin	nveng
er	svg3en
,	pk
at	c
í	af
ár	nheo
verða	svg3fn
Fuglafjarðar	nkee-s	UNKNOWN
Hornorkestur	nhen
og	c
málningaframsýningin	nveng
á	af
Varmakeldu	nveþ
35	ta	UNKNOWN
ár	nhfn

Vit	fp1fn
kunnu	svg1fn	UNKNOWN
bert	aa
vóna	sng
og	c
biðja	sng
eftir	af
,	pk
at	c
veðurgudarnir	nkfng
fara	svg3fn
at	cn
forbarma	sng	UNKNOWN
seg	fpkeo
yvir	af
okkum	fp1fo
í	af
juli	nkeþ
og	c
august	nkeþ
.	pl

Enn	aa
er	svg3en
tó	aa
langt	aa
á	af
mál	nheo
.	pl

Spurdi	svg1eþ
tí	c
tann	fakeo
eina	fbkeo
,	pk
um	c
hann	fpken
ikki	aa
vildi	svg3eþ	UNKNOWN
læna	sng
mær	fp1eþ
tráðuna	nveog
eitt	fbheo
bil	nheo
,	pk
so	aa
eg	fp1en
kundi	svg1eþ
fiska	sng
honum	fpkeþ
eitt	fbheo
stórt	lheosf
síl	nheo
.	pl

Myndirnar	nvfng
,	pk
sum	ct
ein	fbken
listabólkur	nken	UNKNOWN
av	af
Falster	e	UNKNOWN
í	af
Danmark	nheþ-s	UNKNOWN
hevur	svg3en	UNKNOWN
gjørt	sþmhen
,	pk
eru	svg3fn	UNKNOWN
hugtakandi	slg	UNKNOWN
á	aa
at	cn
líta	sng
.	pl

Úr	af
túninum	nheþg
við	af
Mentanarhúsið	nheog	UNKNOWN
,	pk
bar	svg3eþ
leiðin	nveng
yvir	af
á	af
bókasavnið	nheog
og	c
kunningarstovuna	nveog
,	pk
sum	ct
er	svg3en
í	af
hugnaliga	lheþvf
gróthúsinum	nheþg
,	pk
ið	ct
stendur	svg3en
skamt	aa
haðani	aa
.	pl

Niðri	aa
í	af
bygdini	nveþg
stóð	svg3eþ
plattur	nken
við	af
málingablikkum	nkfþ	UNKNOWN
uttanfyri	af
handilin	nkeog
,	pk
og	c
var	svg3eþ
tað	fahen
onkur	fbken
,	pk
sum	ct
ikki	aa
hevði	svg3eþ	UNKNOWN
hugsað	sþmhen
um	af
at	cn
snøgga	sng
um	af
eitthvørt	fbheo
,	pk
sum	ct
lá	svg3eþ
á	af
láni	nheþ
,	pk
var	svg3eþ
hetta	fahen
ein	fbven
góð	lvensf
áminning	nven
um	af
,	pk
at	c
nú	aa
var	svg3eþ
tíðin	nveng
komin	sþmven	UNKNOWN
í	af
hesum	faheþ
Harrans	nkee
veðri	nheþ
hendan	fakeo
dagin	nkeog
.	pl

Henda	faven
samtykt	nven
snýr	svg3en
seg	fpveo
millum	af
annað	fbheo
um	af
læknaørindi	nhfo
hjá	af
starvsfólkum	nhfþ
í	af
Tórshavnar	nvee-s	UNKNOWN
Kommunu	nveþ
,	pk
umframt	aa
jarðarferðir	nvfo
.	pl

Hetta	fahen
verður	svg3en
í	af
fyrstu	lveove
syftu	nveþ
gjørt	sþmhen
í	af
eina	fbveo
royndartíð	nveo
,	pk
áðrenn	c
endalig	lvensf
støða	nven
verður	svg3en
tikin	sþmven	UNKNOWN
um	af
at	cn
flyta	sng
tíðindasendingina	nveog
fast	aa
fram	aa
.	pl

Honum	fpkeþ
á	af
baki	nheþ
kom	svg3eþ
Gongurólvur	nken-s	UNKNOWN
eisini	aa
,	pk
so	aa
eina	fbveo
løtu	nveo
var	svg3eþ
kapping	nven
millum	af
hesar	fakfo
báðar	fbkfo	UNKNOWN
høvuðsstaðarbátarnar	nkfog	UNKNOWN
.	pl

Eygnavitni	nhfng	UNKNOWN
á	af
Eiði	nheþ-s
greiða	svg3fn
frá	af
,	pk
at	c
grót	nhen
fór	svg3eþ
um	af
alla	fbveo
bygdina	nveog
mánadagin	nkeog
,	pk
tá	c
sprongt	sþmhen
varð	svg3eþ	UNKNOWN
úti	aa
í	af
Gerðinum	nheþ-s
á	af
Eiði	nheþ-s
.	pl

Tá	c
tað	fahen
síðsta	lhenve
skotið	nheng
varð	svg3eþ	UNKNOWN
latið	sþmhen
av	aa
um	af
kvøldið	nheog
,	pk
kom	svg3eþ
onki	fbhen
grót	nhen
oman	aa
í	af
bygdina	nveog
,	pk
sigur	svg3en
viðkomandi	slg
,	pk
sum	ct
var	svg3eþ
til	af
staðar	nkee
allan	fbkeo
dagin	nkeog
,	pk
tá	c
sprongt	sþmhen
varð	svg3eþ	UNKNOWN
.	pl

Sunnudagin	nkeog
leggur	svg3en
sluppin	nveng
Johanna	nven-s	UNKNOWN
frá	af
landi	nheþ
og	c
talan	nven
er	svg3en
um	af
eina	fbveo
so	aa
sjáldsama	lveosf
ferð	nveo
,	pk
sum	c
at	cn
fara	sng
undir	af
Sumbiarbjørgini	nhfog	UNKNOWN
.	pl

Manningin	nveng
á	af
Johannu	nveþ-s	UNKNOWN
bjóðar	svg3en
kaffi	nheo
og	c
smákøkur	nvfo	UNKNOWN
.	pl

Greitt	sþmhen
verður	svg3en
frá	af
týðandi	lo
parti	nkeþ
í	af
føroyingasøgu	nveþ	UNKNOWN
,	pk
t.d.	ks	UNKNOWN
er	svg3en
greitt	sþmhen
frá	aa
um	af
grøvina	nveog
í	af
Flatoyarbók	nveþ	UNKNOWN
.	pl

Aftaná	aa
verður	svg3en
farið	sþmhen
eftir	af
varðagøtuni	nveþg
til	af
Øravíkar	nvee-s	UNKNOWN
.	pl

Ongin	fbven
orsøk	nven
er	svg3en
at	cn
sita	sng
hendur	nvfo
í	af
favn	nkeo
,	pk
nú	aa
kunningarstovurnar	nvfng
í	af
Suðuroynni	nveþgs	UNKNOWN
hava	svg3fn
lagt	sþmhen
til	af
brots	nhee
.	pl

Í	af
Mykinesi	nveþ-s	UNKNOWN
stendur	svg3en
ein	fbken
minnisvarði	nken
á	af
sjónligum	lheþsf
staði	nheþ
nakað	fbhen
væl	aa
frá	af
bygdum	sþgheþ
øki	nheþ
.	pl

Tað	fphen
var	svg3eþ
Poul	nken-s	UNKNOWN
E	x
.	pl

Hetta	fahen
er	svg3en
nakað	aa
minni	aam
enn	aa
árið	nheog
fyri	aa
,	pk
tá	c
Postverkið	nheng
hevði	svg3eþ	UNKNOWN
3,9	ta	UNKNOWN
mió.	kt	UNKNOWN
krónur	nvfo
í	af
halli	nheþ
.	pl

Sambært	af
ársfrágreiðingini	nveþg
vóru	svg3fþ	UNKNOWN
240	ta	UNKNOWN
ársverk	nhfn
á	af
Postverki	nheþ
Føroya	nvfe-s	UNKNOWN
sammett	sþmhen
við	af
245,5	ta	UNKNOWN
í	af
2002	ta	UNKNOWN
.	pl

Stjórin	nkeng
á	af
Safari	e	UNKNOWN
Transport	e	UNKNOWN
sigur	svg3en
,	pk
at	c
ætlaninar	nvfng	UNKNOWN
hjá	af
Toll	nkeo
og	c
Skatt	nkeo
eisini	aa
høvdu	svg3fþ
ført	sþmhen
við	af
sær	fpvfþ
,	pk
at	c
summir	fbkfn	UNKNOWN
innflytarar	nkfn
fóru	svg3fþ
at	cn
fáa	sng
trupulleikar	nkfo
,	pk
tí	c
fleiri	lhfnsm	UNKNOWN
av	af
teimum	fpkfþ
duga	svg3fn
ikki	aa
at	cn
tollgreiða	sng
sínar	fpkfo	UNKNOWN
vørur	nvfo
sjálvir	fokfn
,	pk
sigur	svg3en
hann	fpken
.	pl

Tískil	aa
avgreiða	svg3fn
flutningsfeløgini	nhfng	UNKNOWN
framvegis	aa
tollpappírini	nhfog	UNKNOWN
hjá	af
viðskiftafólkum	nhfþ
sínum	fphfþ
á	af
gamlan	lkeosf
hátt	nkeo
.	pl

Klippa	svg3fn
inni	aa
og	cn
hava	sng
fremmandar	lkfosf
menn	nkfo
at	cn
gera	sng
arbeiðið	nheog
.	pl

Hetta	fahen
kemur	svg3en
væl	aa
við	aa
hjá	af
teimum	fpkfþ
,	pk
sum	ct
fyrr	aam
skuldu	svg3fþ	UNKNOWN
mynstra	sng
stóra	lveosf
manning	nveo
heilar	lkfosf
dagar	nkfo
á	af
fjalli	nheþ
.	pl

Vanligt	lhensf
er	svg3en
so	aa
at	cn
royta	sng
ella	c
klippa	sng
tætt	aa
at	af
gomlu	lveþvf	UNKNOWN
ullini	nveþg
,	pk
og	c
seyðurin	nkeng
fer	svg3en
so	aa
avstað	aa
aftur	aa
við	af
nýggju	lveþvf	UNKNOWN
ullini	nveþg
.	pl

Men	c
hóast	c
lógin	nveng
ikki	aa
forbjóðar	svg3en
føroyska	lkeþvf
framferðarháttinum	nkeþg
í	af
Keypmannahavn	nveþ-s	UNKNOWN
,	pk
finst	svm3en	UNKNOWN
Brøgger	n----s	UNKNOWN
at	af
støðuni	nveþg
.	pl

Tað	fphen
var	svg3eþ
eisini	aa
hann	fpken
,	pk
sum	ct
fekk	svg3eþ	UNKNOWN
stýrt	sþmhen
málinum	nheþg
inn	aa
í	af
ta	faveo
legu	nveo
,	pk
sum	ct
at	cn
enda	sng
gav	svg3eþ
okkum	fp1fþ
ein	fbheo
so	aa
frægan	lkeosf
sáttmála	nkeo
.	pl

Tað	fphen
skuldi	svg3eþ	UNKNOWN
so	aa
aftur	aa
skapt	sþmhen
møguleikar	nkfo
fyri	af
eini	fbveþ
øking	nveþ
í	af
okkara	fp1fe
útflutningi	nkeþ
.	pl

St	e	UNKNOWN
Kilda	e	UNKNOWN
var	svg3eþ
bygd	sþmhen
fram	aa
til	af
umleið	aa
1930	ta	UNKNOWN
.	pl

There	e	UNKNOWN
are	e	UNKNOWN
importent	e	UNKNOWN
threats	e	UNKNOWN
associated	e	UNKNOWN
with	e	UNKNOWN
pollution	e	UNKNOWN
derived	e	UNKNOWN
from	e
by	e	UNKNOWN
-	pa
procucts	e	UNKNOWN
of	e	UNKNOWN
oil	e	UNKNOWN
exploration	e	UNKNOWN
and	e	UNKNOWN
drilling	e	UNKNOWN
activities	e	UNKNOWN
.	pl

Enn	aa
hava	svg3fn
Greenpeace	e	UNKNOWN
fólk	nhfn
so	aa
ikki	aa
umrøtt	sþmhen	UNKNOWN
Føroyaøkið	nheog
sum	c
so	aa
í	af
sambandi	nheþ
við	af
herferð	nveo
teirra	fphfe
móti	af
nýggjari	lveþsf
oljuleiting	nveþ
.	pl

Tað	fphen
hevur	svg3en	UNKNOWN
týdning	nkeo
at	cn
fáa	sng
so	aa
nógvar	lvfosf
upplýsingar	nvfo
fram	aa
sum	c
gjørligt	aa
til	af
fólkið	nheog
at	cn
taka	sng
støðu	nveo
út	aa
frá	aa
.	pl

-	pa
Sagt	sþmhen
verður	svg3en
,	pk
at	c
tað	fphen
kostar	svg3en
einar	to
15	ta	UNKNOWN
-	pa
20	ta	UNKNOWN
mió.	kt	UNKNOWN
krónur	nvfo
.	pl

Tosa	sng
,	pk
men	c
gera	sng
einki	aa

Alban	e	UNKNOWN
.	pl

Rakul	nven-s	UNKNOWN
Petersen	n----s	UNKNOWN
umboðar	svg3en
Nora	ks	UNKNOWN
,	pk
ið	ct
er	svg3en
norðurlendskt	lhensf
atlantssamstarv	nhen	UNKNOWN
.	pl

Har	aa
eru	svg3fn	UNKNOWN
tey	fphfn
heilt	aa
stóru	lhfnsf	UNKNOWN
og	c
eisini	aa
feløg	nhfn
,	pk
sum	ct
Tutl	nhen
,	pk
ella	c
minni	aam
,	pk
sigur	svg3en
Kristian	nken-s	UNKNOWN
Blak	n----s
.	pl

Tað	fphen
er	svg3en
hon	fpven
,	pk
ið	ct
syngur	svg3en	UNKNOWN
Big	e	UNKNOWN
Big	e	UNKNOWN
World	e	UNKNOWN
.	pl

-	pa
Ein	fbken
kemur	svg3en
aftur	aa
við	af
hálvum	lveþsf
og	c
heilum	lveþsf
avtalum	nveþ
,	pk
sigur	svg3en
Kristian	nken-s	UNKNOWN
Blak	n----s
,	pk
sum	ct
næstan	aa
hevur	svg3en	UNKNOWN
eina	fbveo
avtalu	nveo
við	af
fólk	nhfo
í	af
Taiwan	nheþ-s	UNKNOWN
um	af
tónleikasamstarv	nheo	UNKNOWN
og	c
sum	ct
longu	aa
hevur	svg3en	UNKNOWN
samband	nheo
við	af
handil	nkeo
í	af
Japan	nheþ-s	UNKNOWN
,	pk
ið	ct
millum	af
annað	fbheo
selur	svg3en
nýggju	lveovf	UNKNOWN
føroysku	lveovf	UNKNOWN
jazzfløguna	nveog	UNKNOWN
hjá	af
Magnus	nken-s	UNKNOWN
Johannesen	n----s	UNKNOWN
,	pk
Plúmm	nheþ	UNKNOWN
og	c
Holger	e	UNKNOWN
Lauman	e	UNKNOWN
.	pl

Orsøkina	nveog
til	af
,	pk
at	c
yvirlitið	nheng
hjá	af
Tutl	nheþ
er	svg3en
so	aa
vakurt	lhensf
,	pk
sum	ct
fók	svg3eþ	UNKNOWN
siga	sng
,	pk
metir	svg3en
Kristian	nken-s	UNKNOWN
er	svg3en
,	pk
at	cn
bólkar	nkfn
og	c
tónleikarar	nkfn
ofta	aa
sjálvi	fohfn	UNKNOWN
hava	svg3fn
staðið	sþmhen
fyri	af
at	cn
gera	sng
húsarnar	nkfog
.	pl

-	pa
Tey	fphfn
hava	svg3fn
verið	sþmhen
heima	aa
og	cn
lurta	sng
eftir	af
tí	fpheþ
,	pk
ið	c
tey	fphfn
fingu	svg3fþ	UNKNOWN
frá	af
okkum	fp1fþ
og	c
eru	svg3fn	UNKNOWN
áhugað	lhfnsf
í	af
at	cn
hoyra	sng
meira	aam
,	pk
sigur	svg3en
Kristian	nken-s	UNKNOWN
.	pl

Men	c
komandi	slg
ár	nheo
verður	svg3en
aftur	aa
møguleiki	nken
at	cn
luttaka	sng
og	c
ætlanir	nvfn
eru	svg3fn	UNKNOWN
um	aa
at	cn
fara	sng
við	aa
.	pl

Henda	fakeo
faldara	nkeo
um	c
Føroyar	nvfo-s	UNKNOWN
fingu	svg3fþ	UNKNOWN
øll	fbhfn
,	pk
sum	ct
hann	fpken
hevði	svg3eþ	UNKNOWN
samband	nheo
við	aa
og	c
tey	fphfn
lótu	svg3fþ
sera	aa
væl	aa
at	aa
og	c
hildu	svg3fþ
landið	nheog
vera	sng
vakurt	sþmheo
.	pl

Sanniliga	aa
kemur	svg3en
føroyskur	lkensf
